1901.5
1908.5
1912.5
1915.5
1919
1924
1931.5
1935.5
1938.5
1948.5
1952.5
1956,
1963,
1967,
1972.5,
1978.5,
1983,
1989,
1994,
1998,
1844.5,
1852,
1857,
1865.5,
1873.5,
1878.5,
1882.5,
1887,
1891.5,
1898.5,
