CBOE Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  As of June 11 2012 Index Volume includes only the volume of cash-settled index option products and excludes that of exchange-traded products.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT:INDEX,,EXCHANGE: CBOE,
DATE,CALL,PUT,TOTAL,P/C Ratio
5/29/2007,197389,343660,541049,1.74
5/30/2007,348720,347974,696694,1
5/31/2007,326419,468627,795046,1.44
6/1/2007,245295,385144,630439,1.57
6/4/2007,218552,404292,622844,1.85
6/5/2007,518669,714369,1233038,1.38
6/6/2007,457157,679166,1136323,1.49
6/7/2007,556193,780252,1336445,1.4
6/8/2007,490568,646878,1137446,1.32
6/11/2007,397845,483623,881468,1.22
6/12/2007,568277,688399,1256676,1.21
6/13/2007,468707,568838,1037545,1.21
6/14/2007,530098,690551,1220649,1.3
6/15/2007,414318,806724,1221042,1.95
6/18/2007,253199,453750,706949,1.79
6/19/2007,210308,431667,641975,2.05
6/20/2007,379768,597546,977314,1.57
6/21/2007,270671,431766,702437,1.6
6/22/2007,288478,383682,672160,1.33
6/25/2007,276984,422310,699294,1.52
6/26/2007,292494,510519,803013,1.75
6/27/2007,337398,520426,857824,1.54
6/28/2007,232186,316110,548296,1.36
6/29/2007,441863,408858,850721,0.93
7/2/2007,177857,281653,459510,1.58
7/3/2007,200111,232666,432777,1.16
7/5/2007,220767,312243,533010,1.41
7/6/2007,322234,259637,581871,0.81
7/9/2007,205911,321114,527025,1.56
7/10/2007,324414,543905,868319,1.68
7/11/2007,413995,431556,845551,1.04
7/12/2007,554543,584433,1138976,1.05
7/13/2007,418888,578486,997374,1.38
7/16/2007,341725,449672,791397,1.32
7/17/2007,366743,596085,962828,1.63
7/18/2007,505753,831746,1337499,1.64
7/19/2007,764161,662762,1426923,0.87
7/20/2007,403859,696290,1100149,1.72
7/23/2007,243020,409902,652922,1.69
7/24/2007,251200,746476,997676,2.97
7/25/2007,379762,650023,1029785,1.71
7/26/2007,598686,1264740,1863426,2.11
7/27/2007,470292,928109,1398401,1.97
7/30/2007,647248,790907,1438155,1.22
7/31/2007,585240,859193,1444433,1.47
8/1/2007,542583,840433,1383016,1.55
8/2/2007,458770,586576,1045346,1.28
8/3/2007,399689,567265,966954,1.42
8/6/2007,632664,849077,1481741,1.34
8/7/2007,603297,689850,1293147,1.14
8/8/2007,652583,659040,1311623,1.01
8/9/2007,584356,821148,1405504,1.41
8/10/2007,760734,1064927,1825661,1.4
8/13/2007,595391,579728,1175119,0.97
8/14/2007,579341,963474,1542815,1.66
8/15/2007,564497,986885,1551382,1.75
8/16/2007,1142889,1887758,3030647,1.65
8/17/2007,572035,828339,1400374,1.45
8/20/2007,401153,566831,967984,1.41
8/21/2007,519437,637698,1157135,1.23
8/22/2007,420394,804679,1225073,1.91
8/23/2007,392999,514535,907534,1.31
8/24/2007,374279,391279,765558,1.05
8/27/2007,161612,317273,478885,1.96
8/28/2007,303964,542967,846931,1.79
8/29/2007,327484,350182,677666,1.07
8/30/2007,257223,372418,629641,1.45
8/31/2007,250103,427542,677645,1.71
9/4/2007,318008,578977,896985,1.82
9/5/2007,241513,449811,691324,1.86
9/6/2007,233749,378133,611882,1.62
9/7/2007,306539,550314,856853,1.8
9/10/2007,306433,368809,675242,1.2
9/11/2007,318730,430644,749374,1.35
9/12/2007,352779,431995,784774,1.22
9/13/2007,289611,466000,755611,1.61
9/14/2007,263317,421105,684422,1.6
9/17/2007,444154,454400,898554,1.02
9/18/2007,721944,777067,1499011,1.08
9/19/2007,849957,1127443,1977400,1.33
9/20/2007,759965,849977,1609942,1.12
9/21/2007,486228,592512,1078740,1.22
9/24/2007,332998,525788,858786,1.58
