CBOE Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  As of June 11 2012 the volume of exchange-traded products is represented as a unique product category.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: ETP,,EXCHANGE: CBOE,
DATE,CALL,PUT,TOTAL,P/C Ratio
11/1/2006,127253,277066,404319,2.18
11/2/2006,103756,353403,457159,3.41
11/3/2006,146876,319521,466397,2.18
11/6/2006,117877,184812,302689,1.57
11/7/2006,115280,251486,366766,2.18
11/8/2006,183995,196163,380158,1.07
11/9/2006,123483,277338,400821,2.25
11/10/2006,95349,249492,344841,2.62
11/13/2006,182175,205215,387390,1.13
11/14/2006,293184,293075,586259,1
11/15/2006,364530,445573,810103,1.22
11/16/2006,251519,438931,690450,1.75
11/17/2006,200827,371000,571827,1.85
11/20/2006,113439,269830,383269,2.38
11/21/2006,133853,181772,315625,1.36
11/22/2006,71512,122870,194382,1.72
11/24/2006,60145,203796,263941,3.39
11/27/2006,160744,540236,700980,3.36
11/28/2006,186818,324431,511249,1.74
11/29/2006,371908,260135,632043,0.7
11/30/2006,137882,270153,408035,1.96
12/1/2006,255094,414996,670090,1.63
12/4/2006,187014,237058,424072,1.27
12/5/2006,143606,207075,350681,1.44
12/6/2006,116974,325844,442818,2.79
12/7/2006,182070,236739,418809,1.3
12/8/2006,119445,233673,353118,1.96
12/11/2006,77602,130206,207808,1.68
12/12/2006,200125,263711,463836,1.32
12/13/2006,155587,273799,429386,1.76
12/14/2006,427532,349170,776702,0.82
12/15/2006,167287,356032,523319,2.13
12/18/2006,130274,295696,425970,2.27
12/19/2006,243735,367159,610894,1.51
12/20/2006,119011,136542,255553,1.15
12/21/2006,272562,403032,675594,1.48
12/22/2006,123065,239041,362106,1.94
12/26/2006,83301,134007,217308,1.61
12/27/2006,126612,189709,316321,1.5
12/28/2006,143464,262605,406069,1.83
12/29/2006,93881,264532,358413,2.82
1/3/2007,225126,402846,627972,1.79
1/4/2007,174084,429189,603273,2.47
1/5/2007,131263,377625,508888,2.88
1/8/2007,158269,205060,363329,1.3
1/9/2007,213026,224081,437107,1.05
1/10/2007,267035,399245,666280,1.5
1/11/2007,351742,320288,672030,0.91
1/12/2007,257024,298596,555620,1.16
1/16/2007,184764,463729,648493,2.51
1/17/2007,134093,307227,441320,2.29
1/18/2007,285495,479995,765490,1.68
1/19/2007,279316,379746,659062,1.36
1/22/2007,160187,324286,484473,2.02
1/23/2007,150548,286565,437113,1.9
1/24/2007,118369,195288,313657,1.65
1/25/2007,153015,402103,555118,2.63
1/26/2007,117144,279600,396744,2.39
1/29/2007,158438,299345,457783,1.89
1/30/2007,126457,185839,312296,1.47
1/31/2007,152201,203968,356169,1.34
2/1/2007,117418,259723,377141,2.21
2/2/2007,115620,273685,389305,2.37
2/5/2007,116069,198123,314192,1.71
2/6/2007,122240,273932,396172,2.24
