"STOCK","STOCK","N/A","4:20pm",0.00,N/A,N/A,N/A,N/A,"N/A - N/A",N/A,N/A,N/A
"SYMBOL","SYMBOL","N/A","7:21pm",0.00,N/A,N/A,N/A,N/A,"N/A - N/A",N/A,N/A,N/A
"NWSA","News Corporation","5/7/2014","4:00pm",17.08,17.14,17.20,16.92,2508847,"14.39 - 18.53",0.00,N/A,N/A
"FUBC","1st United Bancor","5/7/2014","4:00pm",7.31,7.24,7.40,7.1805,135574,"6.26 - 8.25",0.16,2.21,31.43
"VNET","21Vianet Group, I","5/7/2014","4:00pm",23.79,24.21,24.21,22.59,986735,"8.98 - 32.19",0.00,N/A,N/A
"XXII","22nd Century Grou","5/7/2014","4:00pm",2.50,2.63,2.63,2.40,155659,"0.52 - 6.36",0.00,N/A,N/A
"DDD","3D Systems Corpor","5/7/2014","4:00pm",49.11,50.14,50.4899,48.10,3479305,"40.62 - 97.28",0.00,N/A,118.82
"MMM","3M Company Common","5/7/2014","4:00pm",141.14,140.10,141.25,139.175,2238499,"107.15 - 141.83",2.76,1.98,20.19
"JOBS","51job, Inc.","5/7/2014","4:00pm",64.415,67.75,67.75,63.51,173152,"55.15 - 86.00",0.00,N/A,25.55
"WUBA","58.com Inc. Ameri","5/7/2014","4:01pm",37.97,39.92,40.01,35.75,2163545,"21.15 - 58.89",0.00,N/A,151.12
"EGHT","8x8 Inc","5/7/2014","4:00pm",8.81,9.55,9.63,8.70,2061038,"7.14 - 12.42",0.00,N/A,115.98
"AIR","AAR Corp. Common ","5/7/2014","4:01pm",25.54,25.48,25.785,25.30,205469,"18.68 - 31.55",0.30,1.18,17.87
"ATMI","ATMI Inc.","4/29/2014","4:00pm",33.98,N/A,N/A,N/A,0,"21.18 - 34.58",0.00,N/A,N/A
"AVHI","A V Homes, Inc.","5/7/2014","4:00pm",17.15,17.21,17.38,17.04,25161,"12.62 - 20.82",0.00,N/A,N/A
"CAS","Castle (A.M.) & C","5/7/2014","4:03pm",12.34,12.45,12.46,12.215,99843,"11.98 - 18.64",0.00,N/A,N/A
"ATEN","A10 Networks, Inc","5/7/2014","4:02pm",11.52,11.65,11.73,10.20,347537,"10.20 - 16.50",0.00,N/A,N/A
"AAN","Aaron's, Inc. Com","5/7/2014","4:03pm",31.49,30.89,31.60,30.60,1617844,"26.18 - 32.27",0.076,0.25,21.52
