"CF","CF Industries Hol","5/7/2014","4:01pm",244.86,244.05,245.34,241.40,518911,"169.33 - 267.76",2.80,1.15,9.84
"CGG","CGG","5/7/2014","4:00pm",15.1699,15.20,15.27,15.12,24619,"14.53 - 26.09",0.00,N/A,N/A
"GIB","CGI Group, Inc. C","5/7/2014","4:00pm",34.52,34.48,34.86,34.11,210309,"28.35 - 39.47",0.00,N/A,16.22
"CSG","Chambers Street P","5/7/2014","4:02pm",7.79,7.74,7.835,7.712,1461715,"7.16 - 10.10",0.569,7.38,550.71
"CYOU","Changyou.com Limi","5/7/2014","4:00pm",25.71,26.73,27.13,25.43,365055,"24.80 - 41.64",0.00,N/A,8.32
"ECOM","ChannelAdvisor Co","5/7/2014","4:02pm",22.00,24.48,24.48,21.69,1552932,"14.25 - 49.90",0.00,N/A,N/A
"CRL","Charles River Lab","5/7/2014","4:02pm",52.29,51.17,52.35,51.115,1372364,"40.55 - 62.50",0.00,N/A,22.53
"GTLS","Chart Industries,","5/7/2014","4:00pm",73.10,74.13,74.65,71.92,541322,"64.05 - 130.85",0.00,N/A,29.86
"CHTR","Charter Communica","5/7/2014","4:00pm",139.52,138.83,139.785,138.00,1290745,"109.16 - 144.02",0.00,N/A,N/A
"CLDT","Chatham Lodging T","5/7/2014","4:02pm",21.84,21.80,21.85,21.61,279517,"16.13 - 21.97",0.78,3.58,170.23
"HELI","CHC Group Ltd. Or","5/7/2014","4:02pm",6.38,6.67,6.67,6.33,512889,"6.33 - 10.25",0.00,N/A,N/A
"CHKP","Check Point Softw","5/7/2014","4:00pm",63.45,63.71,63.97,62.77,1383577,"47.44 - 69.92",0.00,N/A,19.19
"CAKE","The Cheesecake Fa","5/7/2014","4:00pm",44.40,44.48,44.81,43.86,640137,"39.35 - 49.74",0.56,1.26,21.57
"CHGG","Chegg, Inc. Commo","5/7/2014","4:01pm",5.47,5.88,5.88,5.45,662076,"4.98 - 11.25",0.00,N/A,N/A
"CHTP","Chelsea Therapeut","5/7/2014","4:00pm",5.00,4.98,5.02,4.74,1642167,"1.79 - 6.83",0.00,N/A,N/A
"CHE","Chemed Corp","5/7/2014","4:02pm",85.93,84.37,86.138,84.37,248188,"61.68 - 92.43",0.78,0.92,20.59
"CHFC","Chemical Financia","5/7/2014","4:00pm",28.40,28.01,28.69,27.73,61167,"25.01 - 33.28",0.89,3.18,14.16
"CCXI","ChemoCentryx, Inc","5/7/2014","4:00pm",5.79,5.80,5.80,5.59,166979,"4.57 - 14.96",0.00,N/A,N/A
"CHMT","Chemtura Corp. Co","5/7/2014","4:01pm",24.40,23.88,24.41,23.77,1436940,"20.26 - 28.17",0.00,N/A,N/A
"LNG","Cheniere Energy, ","5/7/2014","4:01pm",56.32,56.64,56.81,55.00,2034960,"25.02 - 59.39",0.00,N/A,N/A
"CQH","Cheniere Energy P","5/7/2014","4:00pm",22.87,22.80,22.9487,22.74,119073,"17.81 - 23.98",0.017,0.07,52.24
"CQP","Cheniere Energy P","5/7/2014","4:00pm",32.72,32.40,32.73,32.20,146049,"24.35 - 34.43",1.70,5.25,N/A
"CHK","Chesapeake Energy","5/7/2014","4:01pm",29.61,29.46,29.84,28.10,18256644,"19.15 - 29.84",0.35,1.23,39.05
"CHKR","Chesapeake Granit","5/7/2014","4:02pm",11.44,11.65,11.65,11.35,204083,"9.60 - 17.24",2.709,23.35,5.17
"CVX","Chevron Corporati","5/7/2014","4:00pm",126.23,125.92,126.78,125.64,5436267,"109.27 - 127.83",4.00,3.20,12.17
"CBI","Chicago Bridge & ","5/7/2014","4:02pm",79.91,79.47,79.96,78.18,720115,"56.04 - 89.22",0.22,0.28,16.88
"CHS","Chico's FAS, Inc.","5/7/2014","4:04pm",15.51,15.50,15.56,15.20,1763448,"15.20 - 19.95",0.26,1.68,37.80
"PLCE","The Children's Pl","5/7/2014","4:00pm",46.19,46.30,46.92,44.54,569600,"44.54 - 58.89",0.133,0.29,19.98
"CIM","Chimera Investmen","5/7/2014","4:02pm",3.09,3.08,3.09,3.07,2326597,"2.71 - 3.33",0.56,18.24,8.55
"CAAS","China Automotive ","5/7/2014","4:00pm",7.57,7.68,7.68,7.48,50216,"4.75 - 10.05",0.00,N/A,8.08
"CBAK","China BAK Battery","5/7/2014","4:00pm",2.60,2.62,2.6599,2.60,95553,"0.71 - 4.78",0.00,N/A,N/A
"CCIH","ChinaCache Intern","5/7/2014","4:00pm",13.07,14.19,14.48,12.81,635529,"3.75 - 29.34",0.00,N/A,N/A
"STV","China Digital TV ","5/7/2014","4:03pm",2.69,2.72,2.77,2.5901,145430,"1.35 - 3.70",0.50,18.52,6.59
"JRJC","China Finance Onl","5/7/2014","4:00pm",2.90,3.18,3.2199,2.83,365121,"1.14 - 8.20",0.00,N/A,N/A
"CHGS","China GengSheng M","5/7/2014","4:00pm",0.33,0.32,0.35,0.31,64956,"0.07 - 0.78",0.00,N/A,N/A
"CGA","China Green Agric","5/7/2014","4:00pm",2.66,2.70,2.70,2.6301,82069,"2.57 - 5.10",0.00,N/A,1.92
"LFC","China Life Insura","5/7/2014","4:07pm",38.78,38.32,38.78,38.32,247163,"33.88 - 49.65",0.339,0.88,20.80
"HTHT","China Lodging Gro","5/7/2014","4:00pm",20.57,22.23,22.23,20.11,568248,"14.75 - 32.29",0.00,N/A,31.19
"MY","China Ming Yang W","5/7/2014","4:03pm",2.46,2.45,2.48,2.38,791080,"1.29 - 4.34",0.00,N/A,N/A
"CHL","China Mobile Limi","5/7/2014","4:00pm",47.31,47.04,47.41,46.96,1219265,"41.35 - 57.42",2.239,4.78,9.82
"NPD","China Nepstar Cha","5/7/2014","4:00pm",2.26,2.30,2.35,2.25,70421,"1.46 - 3.49",0.32,13.85,121.58
"BORN","China New Borun C","5/7/2014","4:02pm",2.46,2.61,2.64,2.46,100106,"1.11 - 4.40",0.00,N/A,5.34
"SNP","China Petroleum &","5/7/2014","4:03pm",86.45,86.09,86.99,85.88,400557,"64.7615 - 95.68",3.9459,4.48,10.75
"CREG","China Recycling E","5/7/2014","4:00pm",3.23,3.22,3.302,3.11,71521,"0.78 - 1.95",0.00,N/A,10.90
"CSUN","China Sunergy Co.","5/7/2014","4:00pm",2.74,3.15,3.19,2.72,316588,"1.48 - 10.19",0.00,N/A,N/A
"CHU","China Unicom (Hon","5/7/2014","4:01pm",15.93,15.89,15.95,15.82,555241,"11.71 - 17.19",0.451,2.92,19.79
"CXDC","China XD Plastics","5/7/2014","4:00pm",6.95,7.03,7.069,6.87,242040,"3.80 - 7.90",0.00,N/A,3.37
"CYD","China Yuchai Inte","5/7/2014","4:01pm",20.43,20.63,20.70,20.23,17242,"14.73 - 26.39",0.90,4.38,6.85
"ZX","China Zenix Auto ","5/7/2014","4:00pm",2.20,2.20,2.29,2.17,27159,"2.11 - 4.27",0.00,N/A,3.07
"CHDX","Chindex Internati","5/7/2014","4:00pm",23.67,23.75,23.79,23.59,85937,"13.39 - 23.99",0.00,N/A,N/A
"IMOS","ChipMOS TECHNOLOG","5/7/2014","4:00pm",20.56,20.75,20.87,20.081,243815,"14.93 - 24.09",0.14,0.68,14.00
"CMG","Chipotle Mexican ","5/7/2014","4:00pm",500.83,506.58,506.58,493.33,571844,"350.66 - 622.90",0.00,N/A,47.09
"CQB","Chiquita Brands I","5/7/2014","4:01pm",11.48,11.44,11.5496,11.27,445240,"8.30 - 13.68",0.00,N/A,N/A
"CHH","Choice Hotels Int","5/7/2014","4:02pm",44.07,44.29,44.29,43.65,106980,"37.94 - 50.37",0.74,1.68,22.34
"CBK","Christopher & Ban","5/7/2014","4:03pm",5.96,6.07,6.11,5.84,200140,"5.29 - 9.32",0.00,N/A,26.48
"CB","Chubb Corporation","5/7/2014","4:00pm",93.46,92.42,94.07,92.42,1390234,"81.68 - 97.79",1.82,1.97,11.03
"CHT","Chunghwa Telecom ","5/7/2014","4:01pm",31.30,31.27,31.33,31.16,63516,"29.07 - 33.74",1.777,5.68,17.67
"CHD","Church & Dwight C","5/7/2014","4:03pm",68.04,67.78,68.29,67.75,948423,"56.36 - 69.85",1.15,1.70,24.54
"CHDN","Churchill Downs, ","5/7/2014","4:00pm",87.77,87.46,88.17,86.68,113609,"76.25 - 96.74",0.87,0.99,29.47
"CHUY","Chuy's Holdings, ","5/7/2014","4:00pm",32.67,35.20,35.20,31.56,521412,"29.83 - 44.06",0.00,N/A,53.24
"CBD","Companhia Brasile","5/7/2014","4:01pm",47.38,46.98,47.41,46.74,709778,"37.83 - 57.30",0.438,0.93,26.13
"CIEN","Ciena Corporation","5/7/2014","4:02pm",18.51,18.71,18.849,18.00,4435894,"14.84 - 27.94",0.00,N/A,N/A
"CI","Cigna Corporation","5/7/2014","4:00pm",85.37,84.00,85.40,83.79,2124944,"65.54 - 90.63",0.04,0.05,12.16
"XEC","Cimarex Energy Co","5/7/2014","4:03pm",131.32,136.97,139.90,126.78,3886960,"62.98 - 139.90",0.56,0.47,18.51
"CIMT","Cimatron, Limited","5/7/2014","4:00pm",6.58,6.79,6.79,6.47,78382,"5.25 - 10.75",0.00,N/A,13.86
"CBB","Cincinnati Bell I","5/7/2014","4:00pm",3.21,3.21,3.29,3.17,1102603,"2.62 - 3.87",0.00,N/A,N/A
"CINF","Cincinnati Financ","5/7/2014","4:00pm",49.32,48.71,49.34,48.421,520682,"43.62 - 53.74",1.687,3.47,17.82
"CNK","Cinemark Holdings","5/7/2014","4:01pm",29.20,29.16,29.43,28.98,607047,"26.59 - 34.35",0.96,3.27,22.91
"CTAS","Cintas Corporatio","5/7/2014","4:00pm",59.71,59.06,59.81,58.77,894935,"44.34 - 63.28",0.77,1.31,21.85
"CIR","CIRCOR Internatio","5/7/2014","4:02pm",80.43,77.79,80.61,77.03,109390,"47.47 - 83.37",0.149,0.19,25.65
"CRUS","Cirrus Logic, Inc","5/7/2014","4:00pm",22.62,22.52,22.72,22.29,1242848,"16.46 - 25.91",0.00,N/A,13.64
"CSCO","Cisco Systems, In","5/7/2014","4:00pm",22.87,22.71,22.90,22.43,38895232,"20.22 - 26.49",0.70,3.08,14.94
"CIT","CIT Group Inc (DE","5/7/2014","4:00pm",42.00,42.00,42.14,41.51,2603447,"41.51 - 52.72",0.20,0.48,13.55
"CTRN","Citi Trends, Inc.","5/7/2014","4:00pm",16.40,16.41,16.47,15.98,57648,"11.71 - 18.45",0.00,N/A,544.67
"C","Citigroup, Inc. C","5/7/2014","4:00pm",46.70,46.54,46.83,46.32,17502520,"45.06 - 55.28",0.04,0.09,10.66
"CTXS","Citrix Systems, I","5/7/2014","4:00pm",60.13,59.16,60.23,58.70,4449034,"51.18 - 77.16",0.00,N/A,33.17
"CYN","City National Cor","5/7/2014","4:02pm",71.40,71.00,71.47,69.932,299790,"58.16 - 81.34",1.16,1.64,17.75
"CLC","CLARCOR Inc. Comm","5/7/2014","4:01pm",57.22,56.99,57.28,56.32,194677,"50.92 - 65.08",0.645,1.14,24.15
"SEA","Guggenheim Shippi","5/7/2014","4:00pm",21.76,21.694,21.80,21.64,11729,"16.25 - 22.65",0.447,2.05,N/A
"CLNE","Clean Energy Fuel","5/7/2014","4:00pm",9.03,9.23,9.35,8.75,1895630,"8.27 - 14.48",0.00,N/A,N/A
"CLH","Clean Harbors, In","5/7/2014","4:02pm",60.71,60.50,61.75,58.99,1354345,"44.95 - 64.12",0.00,N/A,38.85
"CCO","Clear Channel Out","5/7/2014","4:01pm",7.99,8.06,8.13,7.90,218422,"7.14 - 10.69",0.558,6.92,N/A
"CLFD","Clearfield, Inc.","5/7/2014","4:00pm",14.57,15.29,15.29,14.05,167105,"7.28 - 26.59",0.00,N/A,29.30
"CBLI","Cleveland BioLabs","5/7/2014","4:00pm",0.5601,0.58,0.6099,0.55,155219,"0.54 - 1.84",0.00,N/A,N/A
"CKSW","ClickSoftware Tec","5/7/2014","4:00pm",8.325,8.77,9.189,8.25,113433,"5.72 - 10.93",0.05,0.57,N/A
"CLF","Cliffs Natural Re","5/7/2014","4:00pm",17.86,18.05,18.22,17.74,2638198,"15.41 - 28.98",0.60,3.32,14.99
"CLX","Clorox Company (T","5/7/2014","4:01pm",87.87,87.48,88.27,87.36,1358450,"80.20 - 96.76",2.84,3.25,20.30
"CLD","Cloud Peak Energy","5/7/2014","4:03pm",19.21,19.18,19.35,19.01,738878,"14.25 - 22.43",0.00,N/A,55.69
"CLVS","Clovis Oncology, ","5/7/2014","4:00pm",50.89,51.91,52.28,50.25,575606,"32.32 - 93.33",0.00,N/A,N/A
"MYCC","ClubCorp Holdings","5/7/2014","4:03pm",17.82,18.48,18.48,17.76,149348,"13.51 - 19.76",0.24,1.31,N/A
"CME","CME Group Inc.","5/7/2014","4:00pm",70.36,68.84,70.42,68.40,1621840,"60.46 - 84.71",4.42,6.45,22.85
"CMS","CMS Energy Corpor","5/7/2014","4:02pm",30.26,29.83,30.28,29.82,2750044,"25.74 - 30.53",1.05,3.53,15.81
"CNHI","CNH Industrial N.","5/7/2014","4:01pm",11.60,11.48,11.63,11.40,775241,"10.16 - 13.16",0.276,2.41,13.15
"CISG","CNinsure Inc.","5/7/2014","4:00pm",6.14,6.41,6.41,6.06,95892,"4.75 - 9.44",0.00,N/A,20.85
"CNO","CNO Financial Gro","5/7/2014","4:01pm",16.60,16.56,16.685,16.32,1411294,"11.28 - 19.34",0.15,0.91,15.57
"CEO","CNOOC Limited Com","5/7/2014","4:00pm",163.33,162.42,163.895,162.09,143176,"147.24 - 211.49",7.346,4.49,8.14
"COH","Coach, Inc. Commo","5/7/2014","4:03pm",42.01,42.68,42.75,41.62,9328220,"41.62 - 60.12",1.352,3.17,12.99
"CIE","Cobalt Internatio","5/7/2014","4:03pm",18.45,18.99,19.07,18.37,2351679,"13.75 - 30.27",0.00,N/A,N/A
"KO","Coca-Cola Company","5/7/2014","4:02pm",40.91,40.74,40.97,40.63,11115932,"36.83 - 43.43",1.145,2.83,21.64
