EUR.USD,EUR,IDEALPRO,USD,ignore,CASH,10000,100000,0.00005,5,0,MIDPOINT,6
USD.JPY,USD,IDEALPRO,JPY,ignore,CASH,100,100000,0.01,2,0,MIDPOINT,6
ES,ES,GLOBEX,USD,20150918,FUT,1,2,0.25,3,0,TRADES,4
NQ,NQ,GLOBEX,USD,20150918,FUT,1,2,0.25,3,0,MIDPOINT,4
CL,CL,NYMEX,USD,20150922,FUT,100,1,0.01,3,0,TRADES,5
AUD.USD,AUD,IDEALPRO,USD,ignore,CASH,10000,100000,0.00005,5,0,MIDPOINT,6
GBP.USD,GBP,IDEALPRO,USD,ignore,CASH,10000,100000,0.00005,5,0,MIDPOINT,6
