CBOE Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  As of June 11 2012 Equity Volume includes only the volume of equity option products and excludes that of exchange-traded products.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: EQUITY,,EXCHANGE: CBOE,
DATE,CALL,PUT,TOTAL,P/C Ratio
8/14/2007,992856,1047873,2040729,1.06
8/15/2007,1173424,1235861,2409285,1.05
8/16/2007,1752689,1773571,3526260,1.01
8/17/2007,1753295,1301896,3055191,0.74
8/20/2007,1180297,714534,1894831,0.61
8/21/2007,1055441,650116,1705557,0.62
8/22/2007,1221559,755042,1976601,0.62
8/23/2007,881783,623869,1505652,0.71
8/24/2007,800800,543989,1344789,0.68
8/27/2007,884415,604723,1489138,0.68
8/28/2007,949359,823054,1772413,0.87
8/29/2007,951733,650406,1602139,0.68
8/30/2007,873898,569130,1443028,0.65
8/31/2007,779261,504601,1283862,0.65
9/4/2007,1096387,738830,1835217,0.67
9/5/2007,1160782,832397,1993179,0.72
9/6/2007,876945,546842,1423787,0.62
9/7/2007,919498,703590,1623088,0.77
9/10/2007,851890,667665,1519555,0.78
9/11/2007,895250,748339,1643589,0.84
9/12/2007,1020899,593356,1614255,0.58
9/13/2007,966560,592279,1558839,0.61
9/14/2007,908511,574968,1483479,0.63
9/17/2007,881059,573476,1454535,0.65
9/18/2007,1348807,934676,2283483,0.69
9/19/2007,1642571,951737,2594308,0.58
9/20/2007,1252165,705351,1957516,0.56
9/21/2007,1521591,805154,2326745,0.53
9/24/2007,1222414,743443,1965857,0.61
9/25/2007,1111547,832450,1943997,0.75
9/26/2007,1198924,717134,1916058,0.6
9/27/2007,1113878,647098,1760976,0.58
9/28/2007,889356,692975,1582331,0.78
10/1/2007,1119022,633781,1752803,0.57
10/2/2007,1225890,810191,2036081,0.66
10/3/2007,1092924,637006,1729930,0.58
10/4/2007,1259940,624588,1884528,0.5
10/5/2007,1130305,637207,1767512,0.56
10/8/2007,950464,498584,1449048,0.52
10/9/2007,1332121,816955,2149076,0.61
10/10/2007,1309421,730723,2040144,0.56
10/11/2007,1804867,1084417,2889284,0.6
10/12/2007,1609905,908216,2518121,0.56
10/15/2007,1475006,778702,2253708,0.53
10/16/2007,1426924,1068330,2495254,0.75
10/17/2007,1689623,1126876,2816499,0.67
10/18/2007,1775711,930835,2706546,0.52
10/19/2007,1859772,1360719,3220491,0.73
10/22/2007,1404675,933073,2337748,0.66
10/23/2007,1431696,918852,2350548,0.64
10/24/2007,1348644,979204,2327848,0.73
10/25/2007,1190094,909902,2099996,0.76
10/26/2007,1561917,828776,2390693,0.53
10/29/2007,1329763,758841,2088604,0.57
10/30/2007,1120683,942717,2063400,0.84
10/31/2007,1663140,746529,2409669,0.45
11/1/2007,1458838,986693,2445531,0.68
11/2/2007,1355405,947257,2302662,0.7
11/5/2007,1317923,888547,2206470,0.67
11/6/2007,1532786,1089080,2621866,0.71
11/7/2007,1532867,1033652,2566519,0.67
11/8/2007,1819598,1505744,3325342,0.83
11/9/2007,1381627,992718,2374345,0.72
11/12/2007,1927681,1141568,3069249,0.59
11/13/2007,1544277,1311050,2855327,0.85
11/14/2007,1439510,898741,2338251,0.62
11/15/2007,1186207,944825,2131032,0.8
11/16/2007,1369644,1358457,2728101,0.99
11/19/2007,1203511,791460,1994971,0.66
11/20/2007,1407304,1107824,2515128,0.79
11/21/2007,1068872,876930,1945802,0.82
11/23/2007,530007,287627,817634,0.54
11/26/2007,1117055,777972,1895027,0.7
11/27/2007,1911996,1045342,2957338,0.55
11/28/2007,1501673,848505,2350178,0.57
11/29/2007,1147632,678326,1825958,0.59
11/30/2007,1146285,778126,1924411,0.68
12/3/2007,897288,554351,1451639,0.62
12/4/2007,1016081,887693,1903774,0.87
12/5/2007,1071003,675771,1746774,0.63
12/6/2007,1235003,675128,1910131,0.55
12/7/2007,998449,599927,1598376,0.6
12/10/2007,1055938,722249,1778187,0.68
12/11/2007,1253059,992824,2245883,0.79
12/12/2007,1293283,874925,2168208,0.68
12/13/2007,1100101,811075,1911176,0.74
12/14/2007,1042011,643156,1685167,0.62
12/17/2007,1133282,721404,1854686,0.64
12/18/2007,1289770,993053,2282823,0.77
12/19/2007,1154627,816768,1971395,0.71
12/20/2007,2266397,948198,3214595,0.42
12/21/2007,1548653,998615,2547268,0.64
12/24/2007,639971,458002,1097973,0.72
12/26/2007,862958,567624,1430582,0.66
12/27/2007,923330,556422,1479752,0.6
12/28/2007,936505,528559,1465064,0.56
12/31/2007,861127,581057,1442184,0.67
1/2/2008,1047459,818971,1866430,0.78
1/3/2008,1164859,830272,1995131,0.71
1/4/2008,1833058,1123843,2956901,0.61
1/7/2008,1283956,996429,2280385,0.78
1/8/2008,1391811,1354459,2746270,0.97
1/9/2008,1686205,1261271,2947476,0.75
1/10/2008,1624753,1124761,2749514,0.69
1/11/2008,1501985,1068863,2570848,0.71
1/14/2008,1300604,905704,2206308,0.7
1/15/2008,1514259,1588729,3102988,1.05
1/16/2008,1670219,1450336,3120555,0.87
1/17/2008,1563319,1545183,3108502,0.99
1/18/2008,1689111,1671608,3360719,0.99
1/22/2008,1650001,1210035,2860036,0.73
1/23/2008,2022956,1515883,3538839,0.75
1/24/2008,1756715,1030690,2787405,0.59
1/25/2008,1334453,894457,2228910,0.67
1/28/2008,1090714,703431,1794145,0.64
1/29/2008,1304678,853281,2157959,0.65
1/30/2008,1388854,866641,2255495,0.62
1/31/2008,1420126,994553,2414679,0.7
2/1/2008,1655910,926413,2582323,0.56
2/4/2008,1100721,752086,1852807,0.68
2/5/2008,1169153,1102497,2271650,0.94
2/6/2008,1106316,885085,1991401,0.8
2/7/2008,1251116,1101549,2352665,0.88
2/8/2008,1025314,811140,1836454,0.79
2/11/2008,1164587,789834,1954421,0.68
2/12/2008,1368634,1073893,2442527,0.78
2/13/2008,1083169,815995,1899164,0.75
2/14/2008,1128694,834505,1963199,0.74
2/15/2008,1254792,975000,2229792,0.78
2/19/2008,1262963,843204,2106167,0.67
2/20/2008,1105864,774172,1880036,0.7
2/21/2008,1024261,709348,1733609,0.69
2/22/2008,921121,771956,1693077,0.84
2/25/2008,1047599,682566,1730165,0.65
2/26/2008,1173488,940009,2113497,0.8
2/27/2008,1050971,775979,1826950,0.74
2/28/2008,997910,958602,1956512,0.96
2/29/2008,1031151,870766,1901917,0.84
3/3/2008,1066089,845347,1911436,0.79
3/4/2008,1189930,1141182,2331112,0.96
3/5/2008,1037764,703561,1741325,0.68
3/6/2008,990828,1109591,2100419,1.12
3/7/2008,1145830,1056101,2201931,0.92
3/10/2008,1055402,1051758,2107160,1
3/11/2008,1325081,1174964,2500045,0.89
3/12/2008,1168372,976710,2145082,0.84
3/13/2008,1270533,1047530,2318063,0.82
3/14/2008,1178150,1365552,2543702,1.16
3/17/2008,1351521,1814313,3165834,1.34
3/18/2008,1678548,1317287,2995835,0.78
3/19/2008,1551367,1392187,2943554,0.9
3/20/2008,1815036,1467874,3282910,0.81
3/24/2008,1575484,991208,2566692,0.63
3/25/2008,1219736,938317,2158053,0.77
3/26/2008,1207437,930997,2138434,0.77
3/27/2008,1064793,901768,1966561,0.85
3/28/2008,889802,763764,1653566,0.86
3/31/2008,880437,748399,1628836,0.85
4/1/2008,1292552,1041654,2334206,0.81
4/2/2008,1181232,923507,2104739,0.78
4/3/2008,1063288,867830,1931118,0.82
4/4/2008,1090589,888857,1979446,0.82
4/7/2008,1261082,937309,2198391,0.74
4/8/2008,937309,840947,1778256,0.9
4/9/2008,957134,859679,1816813,0.9
4/10/2008,1115495,882401,1997896,0.79
4/11/2008,1156445,1035391,2191836,0.9
4/14/2008,1062214,904620,1966834,0.85
4/15/2008,1103053,1040621,2143674,0.94
4/16/2008,1523812,1102020,2625832,0.72
4/17/2008,1364348,1024573,2388921,0.75
4/18/2008,2074614,1223920,3298534,0.59
4/21/2008,1437746,859213,2296959,0.6
4/22/2008,1431134,949162,2380296,0.66
4/23/2008,1297079,907144,2204223,0.7
4/24/2008,1485218,987812,2473030,0.67
4/25/2008,1286873,935163,2222036,0.73
4/28/2008,1081649,715552,1797201,0.66
4/29/2008,1184337,978921,2163258,0.83
4/30/2008,1279350,838444,2117794,0.66
5/1/2008,1625225,936186,2561411,0.58
5/2/2008,1463659,914771,2378430,0.62
5/5/2008,1459412,967118,2426530,0.66
5/6/2008,1694944,971356,2666300,0.57
5/7/2008,1532500,1016116,2548616,0.66
5/8/2008,1379222,827643,2206865,0.6
5/9/2008,1166467,815717,1982184,0.7
5/12/2008,1475590,970195,2445785,0.66
5/13/2008,1574325,945252,2519577,0.6
5/14/2008,1639066,1018269,2657335,0.62
5/15/2008,1665011,986604,2651615,0.59
5/16/2008,1832609,1075511,2908120,0.59
5/19/2008,1646289,918074,2564363,0.56
5/20/2008,1264438,884310,2148748,0.7
5/21/2008,1400279,1107649,2507928,0.79
5/22/2008,1176044,735328,1911372,0.63
5/23/2008,1161498,830802,1992300,0.72
5/27/2008,1029808,675743,1705551,0.66
5/28/2008,1207365,748538,1955903,0.62
5/29/2008,1296524,864347,2160871,0.67
5/30/2008,1096856,649606,1746462,0.59
6/2/2008,1092911,825569,1918480,0.76
6/3/2008,1308822,1040584,2349406,0.8
6/4/2008,1241962,943398,2185360,0.76
6/5/2008,1470027,941644,2411671,0.64
6/6/2008,1528100,1161267,2689367,0.76
6/9/2008,1588449,1243178,2831627,0.78
6/10/2008,1317130,1071254,2388384,0.81
6/11/2008,1426996,1208661,2635657,0.85
6/12/2008,1683010,1302295,2985305,0.77
6/13/2008,1578395,1195919,2774314,0.76
6/16/2008,1397311,1130013,2527324,0.81
6/17/2008,1417831,1065394,2483225,0.75
6/18/2008,1484228,1279325,2763553,0.86
6/19/2008,1818519,1384975,3203494,0.76
6/20/2008,1725837,1582696,3308533,0.92
6/23/2008,1602539,1045996,2648535,0.65
6/24/2008,1268171,892176,2160347,0.7
6/25/2008,1502525,1066269,2568794,0.71
6/26/2008,1579838,1244666,2824504,0.79
6/27/2008,1364226,1108971,2473197,0.81
6/30/2008,1256051,966644,2222695,0.77
7/1/2008,1530534,1231636,2762170,0.8
7/2/2008,1686747,1194110,2880857,0.71
7/3/2008,1032849,879981,1912830,0.85
7/7/2008,1521946,1365111,2887057,0.9
7/8/2008,1906513,1402387,3308900,0.74
7/9/2008,1479884,1237598,2717482,0.84
7/10/2008,1601147,1490108,3091255,0.93
7/11/2008,1850800,1681920,3532720,0.91
7/14/2008,1514073,1405153,2919226,0.93
7/15/2008,1905654,1797457,3703111,0.94
7/16/2008,2073655,1609915,3683570,0.78
7/17/2008,2449612,1823778,4273390,0.74
7/18/2008,2053123,1470599,3523722,0.72
7/21/2008,1768964,1235915,3004879,0.7
7/22/2008,1865392,1437208,3302600,0.77
7/23/2008,2142589,1389064,3531653,0.65
7/24/2008,1682968,1373749,3056717,0.82
7/25/2008,1278952,939700,2218652,0.73
7/28/2008,1188889,947144,2136033,0.8
7/29/2008,1651151,1122179,2773330,0.68
7/30/2008,1805087,1293000,3098087,0.72
7/31/2008,1653225,1207365,2860590,0.73
8/1/2008,1969569,1684730,3654299,0.86
8/4/2008,1214331,871108,2085439,0.72
8/5/2008,1833655,1146763,2980418,0.63
8/6/2008,1395087,1021884,2416971,0.73
8/7/2008,1317219,1096082,2413301,0.83
8/8/2008,1537813,910645,2448458,0.59
8/11/2008,1668432,1135115,2803547,0.68
8/12/2008,1505822,1099650,2605472,0.73
8/13/2008,1479094,1058376,2537470,0.72
8/14/2008,1369339,953508,2322847,0.7
8/15/2008,1561722,1017353,2579075,0.65
8/18/2008,1184562,899213,2083775,0.76
8/19/2008,1008757,882711,1891468,0.88
8/20/2008,1142776,794411,1937187,0.7
8/21/2008,988313,647284,1635597,0.65
8/22/2008,954718,567786,1522504,0.59
8/25/2008,721153,510353,1231506,0.71
8/26/2008,832937,669626,1502563,0.8
8/27/2008,909472,628672,1538144,0.69
8/28/2008,1069675,771941,1841616,0.72
8/29/2008,764000,543560,1307560,0.71
9/2/2008,1237480,855129,2092609,0.69
9/3/2008,1373289,933331,2306620,0.68
9/4/2008,1440928,1135145,2576073,0.79
9/5/2008,1410026,1103579,2513605,0.78
9/8/2008,1764118,1359159,3123277,0.77
9/9/2008,1640945,1636900,3277845,1
9/10/2008,1488897,1269227,2758124,0.85
9/11/2008,1787802,1487736,3275538,0.83
9/12/2008,1727538,1547842,3275380,0.9
9/15/2008,1342619,1584395,2927014,1.18
9/16/2008,1783956,1671688,3455644,0.94
9/17/2008,1852950,1824140,3677090,0.98
9/18/2008,2259042,1821459,4080501,0.81
9/19/2008,2421983,1241857,3663840,0.51
9/22/2008,1382320,1005732,2388052,0.73
9/23/2008,1193075,912294,2105369,0.76
9/24/2008,1010855,721281,1732136,0.71
9/25/2008,1320908,828195,2149103,0.63
9/26/2008,1185821,971227,2157048,0.82
9/29/2008,1293507,1022631,2316138,0.79
9/30/2008,1252444,908952,2161396,0.73
10/1/2008,1338897,1059921,2398818,0.79
10/2/2008,1399107,1283002,2682109,0.92
10/3/2008,1574755,1156113,2730868,0.73
10/6/2008,1902376,1835224,3737600,0.96
10/7/2008,1460722,1388645,2849367,0.95
10/8/2008,1769555,1584168,3353723,0.9
10/9/2008,1478394,1567000,3045394,1.06
10/10/2008,1913759,1952805,3866564,1.02
10/13/2008,1596842,1109383,2706225,0.69
10/14/2008,1578044,1275653,2853697,0.81
10/15/2008,1386063,1256060,2642123,0.91
10/16/2008,1477834,1387342,2865176,0.94
10/17/2008,1535165,1260237,2795402,0.82
10/20/2008,1265425,795504,2060929,0.63
10/21/2008,1109227,855276,1964503,0.77
10/22/2008,1179583,1059873,2239456,0.9
10/23/2008,1231525,1132454,2363979,0.92
10/24/2008,1120310,1098829,2219139,0.98
10/27/2008,873685,715387,1589072,0.82
10/28/2008,1408736,952870,2361606,0.68
10/29/2008,1477290,866574,2343864,0.59
10/30/2008,1333112,914332,2247444,0.69
10/31/2008,1273050,953718,2226768,0.75
11/3/2008,1075939,812211,1888150,0.75
11/4/2008,1443728,1019296,2463024,0.71
11/5/2008,1379412,1114328,2493740,0.81
11/6/2008,1193339,1216186,2409525,1.02
11/7/2008,927288,701379,1628667,0.76
11/10/2008,884205,826201,1710406,0.93
11/11/2008,1038145,994468,2032613,0.96
11/12/2008,1104410,1085539,2189949,0.98
11/13/2008,1726252,1601226,3327478,0.93
11/14/2008,1095108,904487,1999595,0.83
11/17/2008,984340,850733,1835073,0.86
11/18/2008,1151512,1087598,2239110,0.94
11/19/2008,1211029,1408842,2619871,1.16
11/20/2008,1446741,1517393,2964134,1.05
11/21/2008,1619871,1826536,3446407,1.13
11/24/2008,1592804,900475,2493279,0.57
11/25/2008,1158691,805525,1964216,0.7
11/26/2008,1149658,739983,1889641,0.64
11/28/2008,512694,368653,881347,0.72
12/1/2008,949646,846185,1795831,0.89
12/2/2008,1080821,809333,1890154,0.75
12/3/2008,1070178,791719,1861897,0.74
12/4/2008,1008848,814555,1823403,0.81
12/5/2008,1291605,804061,2095666,0.62
12/8/2008,1577244,1154106,2731350,0.73
12/9/2008,1189758,884384,2074142,0.74
12/10/2008,1083758,832206,1915964,0.77
12/11/2008,1074766,902809,1977575,0.84
12/12/2008,925457,853638,1779095,0.92
12/15/2008,736447,650082,1386529,0.88
12/16/2008,1308821,946344,2255165,0.72
12/17/2008,1343204,858151,2201355,0.64
12/18/2008,1230926,999652,2230578,0.81
12/19/2008,1220776,838342,2059118,0.69
12/22/2008,853601,580821,1434422,0.68
12/23/2008,836232,402758,1238990,0.48
12/24/2008,295739,193142,488881,0.65
12/26/2008,429376,278407,707783,0.65
12/29/2008,727955,449706,1177661,0.62
12/30/2008,798956,497416,1296372,0.62
12/31/2008,791300,481515,1272815,0.61
1/2/2009,964210,638643,1602853,0.66
1/5/2009,1307047,878373,2185420,0.67
1/6/2009,1474737,1075719,2550456,0.73
1/7/2009,1132997,1135307,2268304,1
1/8/2009,1099483,979449,2078932,0.89
1/9/2009,1096044,950303,2046347,0.87
1/12/2009,1125670,1119174,2244844,0.99
1/13/2009,1163243,1075534,2238777,0.92
1/14/2009,1282889,1256710,2539599,0.98
1/15/2009,1723452,1730207,3453659,1
1/16/2009,1682537,1377134,3059671,0.82
1/20/2009,1509550,1353709,2863259,0.9
1/21/2009,1399180,1115623,2514803,0.8
1/22/2009,1477597,1116828,2594425,0.76
1/23/2009,1453233,989170,2442403,0.68
1/26/2009,1240524,818344,2058868,0.66
1/27/2009,1121552,759502,1881054,0.68
1/28/2009,1447189,895809,2342998,0.62
1/29/2009,1023529,910111,1933640,0.89
1/30/2009,1052450,916067,1968517,0.87
2/2/2009,1114338,841196,1955534,0.75
2/3/2009,1119821,860276,1980097,0.77
2/4/2009,1234221,966799,2201020,0.78
2/5/2009,1532511,1120016,2652527,0.73
2/6/2009,1625078,952887,2577965,0.59
2/9/2009,1323210,839517,2162727,0.63
2/10/2009,1415864,1076257,2492121,0.76
2/11/2009,1107140,892960,2000100,0.81
2/12/2009,1172941,1039968,2212909,0.89
2/13/2009,947296,700021,1647317,0.74
2/17/2009,1194461,1133739,2328200,0.95
2/18/2009,1196297,1060224,2256521,0.89
2/19/2009,1247849,1190871,2438720,0.95
2/20/2009,1924048,1594599,3518647,0.83
2/23/2009,1336108,1063709,2399817,0.8
2/24/2009,1476645,941104,2417749,0.64
2/25/2009,1243804,803362,2047166,0.65
2/26/2009,1282372,840644,2123016,0.66
2/27/2009,1328906,917345,2246251,0.69
3/2/2009,1321989,1136676,2458665,0.86
3/3/2009,1191603,941209,2132812,0.79
3/4/2009,1448246,1211685,2659931,0.84
3/5/2009,1352091,1216788,2568879,0.9
3/6/2009,1416349,1175214,2591563,0.83
3/9/2009,1273119,778499,2051618,0.61
3/10/2009,1720985,984989,2705974,0.57
3/11/2009,1518907,998908,2517815,0.66
3/12/2009,1712447,1052783,2765230,0.61
3/13/2009,1542737,935321,2478058,0.61
3/16/2009,1834848,1273360,3108208,0.69
3/17/2009,1586340,1053744,2640084,0.66
3/18/2009,2578948,1404566,3983514,0.54
3/19/2009,2299602,1302202,3601804,0.57
3/20/2009,1868126,1357148,3225274,0.73
3/23/2009,2179719,1122830,3302549,0.52
3/24/2009,1544063,958177,2502240,0.62
3/25/2009,1493215,954897,2448112,0.64
3/26/2009,1434339,956087,2390426,0.67
3/27/2009,1058639,785890,1844529,0.74
3/30/2009,1206714,932949,2139663,0.77
3/31/2009,1219278,801718,2020996,0.66
4/1/2009,1273442,899564,2173006,0.71
4/2/2009,2099113,1240331,3339444,0.59
4/3/2009,1509298,1017119,2526417,0.67
4/6/2009,1245974,844363,2090337,0.68
4/7/2009,1302366,1044978,2347344,0.8
4/8/2009,1407934,923585,2331519,0.66
4/9/2009,2305816,1298196,3604012,0.56
4/13/2009,2393405,1219880,3613285,0.51
4/14/2009,2553851,1455699,4009550,0.57
4/15/2009,1972587,1193465,3166052,0.61
4/16/2009,2460787,1471547,3932334,0.6
4/17/2009,2958517,1640222,4598739,0.55
4/20/2009,2103068,1670702,3773770,0.79
4/21/2009,1847620,1228829,3076449,0.67
4/22/2009,1934572,1240446,3175018,0.64
4/23/2009,1526897,1112740,2639637,0.73
4/24/2009,1727367,1157182,2884549,0.67
4/27/2009,1738970,1133861,2872831,0.65
4/28/2009,1549898,1131795,2681693,0.73
4/29/2009,1564781,982088,2546869,0.63
4/30/2009,1804634,1153306,2957940,0.64
5/1/2009,1371791,832069,2203860,0.61
5/4/2009,2063476,1122302,3185778,0.54
5/5/2009,1758167,1030504,2788671,0.59
5/6/2009,2633006,1540412,4173418,0.59
5/7/2009,2708646,1819998,4528644,0.67
5/8/2009,2395502,1477550,3873052,0.62
5/11/2009,1845898,1164357,3010255,0.63
5/12/2009,2061626,1384425,3446051,0.67
5/13/2009,2019107,1351616,3370723,0.67
5/14/2009,1830615,1130694,2961309,0.62
5/15/2009,1898642,1197239,3095881,0.63
5/18/2009,1666226,918223,2584449,0.55
5/19/2009,1533396,956195,2489591,0.62
5/20/2009,1816015,1152230,2968245,0.63
5/21/2009,1408335,1126158,2534493,0.8
5/22/2009,1167822,736827,1904649,0.63
5/26/2009,1475386,798595,2273981,0.54
5/27/2009,1375594,979443,2355037,0.71
5/28/2009,1569223,960797,2530020,0.61
5/29/2009,1385999,876896,2262895,0.63
6/1/2009,2093135,1177181,3270316,0.56
6/2/2009,1524087,961264,2485351,0.63
6/3/2009,1319046,1003668,2322714,0.76
6/4/2009,1445426,910306,2355732,0.63
6/5/2009,1436167,861078,2297245,0.6
6/8/2009,1176544,883672,2060216,0.75
6/9/2009,1358635,899132,2257767,0.66
6/10/2009,1436674,1036557,2473231,0.72
6/11/2009,1756471,965395,2721866,0.55
6/12/2009,1436654,934771,2371425,0.65
6/15/2009,1617341,967507,2584848,0.6
6/16/2009,1389736,1108844,2498580,0.8
6/17/2009,1722387,1533641,3256028,0.89
6/18/2009,1490271,1144535,2634806,0.77
6/19/2009,2002246,1299064,3301310,0.65
6/22/2009,1410091,1021430,2431521,0.72
6/23/2009,1238206,948975,2187181,0.77
6/24/2009,1186068,736978,1923046,0.62
6/25/2009,1093439,818402,1911841,0.75
6/26/2009,945218,668993,1614211,0.71
6/29/2009,865313,626463,1491776,0.72
6/30/2009,919621,759518,1679139,0.83
7/1/2009,883391,648482,1531873,0.73
7/2/2009,988877,707096,1695973,0.72
7/6/2009,1129520,824841,1954361,0.73
7/7/2009,1083593,931619,2015212,0.86
7/8/2009,1407033,1208051,2615084,0.86
7/9/2009,1013219,803621,1816840,0.79
7/10/2009,1018148,783471,1801619,0.77
7/13/2009,1350760,925748,2276508,0.69
7/14/2009,1223391,947394,2170785,0.77
7/15/2009,2136914,1313043,3449957,0.61
7/16/2009,1993617,1209800,3203417,0.61
7/17/2009,2484464,1423685,3908149,0.57
7/20/2009,1990230,1197386,3187616,0.6
7/21/2009,1544718,942693,2487411,0.61
7/22/2009,1393927,942481,2336408,0.68
7/23/2009,1912221,1269858,3182079,0.66
7/24/2009,1299828,1014072,2313900,0.78
7/27/2009,1310069,705151,2015220,0.54
7/28/2009,1493096,948721,2441817,0.64
7/29/2009,1407056,873706,2280762,0.62
7/30/2009,2277048,1150810,3427858,0.51
7/31/2009,1281375,835845,2117220,0.65
8/3/2009,1616843,997889,2614732,0.62
8/4/2009,1531070,881340,2412410,0.58
8/5/2009,2083614,1073078,3156692,0.52
8/6/2009,1661167,1104430,2765597,0.66
8/7/2009,2219243,1083940,3303183,0.49
8/10/2009,1431739,806445,2238184,0.56
8/11/2009,1673499,1078042,2751541,0.64
8/12/2009,1516281,912805,2429086,0.6
8/13/2009,1639190,833766,2472956,0.51
8/14/2009,1357174,806399,2163573,0.59
8/17/2009,1366925,964779,2331704,0.71
8/18/2009,1374442,866931,2241373,0.63
8/19/2009,1584221,982897,2567118,0.62
8/20/2009,1861175,936086,2797261,0.5
8/21/2009,2498097,974371,3472468,0.39
8/24/2009,2001850,1042470,3044320,0.52
8/25/2009,1477666,878808,2356474,0.59
8/26/2009,1246492,802057,2048549,0.64
8/27/2009,1688124,996694,2684818,0.59
8/28/2009,1762584,1020595,2783179,0.58
8/31/2009,1278630,804287,2082917,0.63
9/1/2009,1817293,1245931,3063224,0.69
9/2/2009,1451183,1000321,2451504,0.69
9/3/2009,1304042,778743,2082785,0.6
9/4/2009,1156758,683945,1840703,0.59
9/8/2009,1514364,886121,2400485,0.59
9/9/2009,1559424,837241,2396665,0.54
9/10/2009,1562138,958184,2520322,0.61
9/11/2009,1570454,959692,2530146,0.61
9/14/2009,1678649,927960,2606609,0.55
9/15/2009,2189350,1234886,3424236,0.56
9/16/2009,2656900,1212858,3869758,0.46
9/17/2009,2656069,1398624,4054693,0.53
9/18/2009,2064164,1159613,3223777,0.56
9/21/2009,1476297,943434,2419731,0.64
9/22/2009,1645037,904148,2549185,0.55
9/23/2009,2069855,1249028,3318883,0.6
9/24/2009,1468348,1049246,2517594,0.71
9/25/2009,1284158,742663,2026821,0.58
9/28/2009,942097,560561,1502658,0.6
9/29/2009,1134984,692236,1827220,0.61
9/30/2009,1348669,989954,2338623,0.73
10/1/2009,1484020,1090378,2574398,0.73
10/2/2009,1516940,1293644,2810584,0.85
10/5/2009,1284856,716008,2000864,0.56
10/6/2009,1763206,849576,2612782,0.48
10/7/2009,1368857,698659,2067516,0.51
10/8/2009,1807979,955037,2763016,0.53
10/9/2009,1421779,783115,2204894,0.55
10/12/2009,1406386,781538,2187924,0.56
10/13/2009,1591512,895782,2487294,0.56
10/14/2009,2199276,1029066,3228342,0.47
10/15/2009,2229907,1030774,3260681,0.46
10/16/2009,2446545,1332022,3778567,0.54
10/19/2009,1719103,1046607,2765710,0.61
10/20/2009,1490628,1002671,2493299,0.67
10/21/2009,1882869,1042039,2924908,0.55
10/22/2009,1517159,911992,2429151,0.6
10/23/2009,1383381,879095,2262476,0.64
10/26/2009,1536955,993788,2530743,0.65
10/27/2009,1400414,868110,2268524,0.62
10/28/2009,1682297,1164893,2847190,0.69
10/29/2009,1437819,763740,2201559,0.53
10/30/2009,1453948,1158644,2612592,0.8
11/2/2009,1571420,1241901,2813321,0.79
11/3/2009,1342752,932373,2275125,0.69
11/4/2009,1458620,836696,2295316,0.57
11/5/2009,1280040,813108,2093148,0.64
11/6/2009,1173402,746176,1919578,0.64
11/9/2009,1561070,829523,2390593,0.53
11/10/2009,1224614,701601,1926215,0.57
11/11/2009,1419011,730586,2149597,0.51
11/12/2009,1138961,665511,1804472,0.58
11/13/2009,1116343,691648,1807991,0.62
11/16/2009,1521622,852036,2373658,0.56
11/17/2009,1444304,954330,2398634,0.66
11/18/2009,1518959,888900,2407859,0.59
11/19/2009,1352659,993774,2346433,0.73
11/20/2009,1665710,1101992,2767702,0.66
11/23/2009,1587717,872286,2460003,0.55
11/24/2009,1167497,751696,1919193,0.64
11/25/2009,960773,586251,1547024,0.61
11/27/2009,635251,488920,1124171,0.77
11/30/2009,991732,768008,1759740,0.77
12/1/2009,1372674,769856,2142530,0.56
12/2/2009,1303166,720038,2023204,0.55
12/3/2009,1439275,882192,2321467,0.61
12/4/2009,1650666,1092923,2743589,0.66
12/7/2009,1199080,782458,1981538,0.65
12/8/2009,1438064,903358,2341422,0.63
12/9/2009,1295875,728544,2024419,0.56
12/10/2009,1328958,802940,2131898,0.6
12/11/2009,1259776,752577,2012353,0.6
12/14/2009,1486322,905896,2392218,0.61
12/15/2009,1883872,1091699,2975571,0.58
12/16/2009,1809825,1175502,2985327,0.65
12/17/2009,1940194,1296645,3236839,0.67
12/18/2009,1844244,1233917,3078161,0.67
12/21/2009,1491457,747234,2238691,0.5
12/22/2009,1176894,768583,1945477,0.65
12/23/2009,1200615,704282,1904897,0.59
12/24/2009,664160,322153,986313,0.49
12/28/2009,1044895,548716,1593611,0.53
12/29/2009,951100,565039,1516139,0.59
12/30/2009,870513,515095,1385608,0.59
12/31/2009,794567,470891,1265458,0.59
1/4/2010,1587805,769863,2357668,0.48
1/5/2010,1848688,1012760,2861448,0.55
1/6/2010,1665246,840036,2505282,0.5
1/7/2010,2006453,960442,2966895,0.48
1/8/2010,1817851,835511,2653362,0.46
1/11/2010,1816552,841503,2658055,0.46
1/12/2010,1872801,1077423,2950224,0.58
1/13/2010,1707280,930506,2637786,0.55
1/14/2010,1859299,978986,2838285,0.53
1/15/2010,2248181,1307358,3555539,0.58
1/19/2010,1703809,955803,2659612,0.56
