CBOE Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  As of June 11 2012 Equity Volume includes only the volume of equity option products and excludes that of exchange-traded products.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: EQUITY,,EXCHANGE: CBOE,
DATE,CALL,PUT,TOTAL,P/C Ratio
07/03/2013, 464302, 353401, 817703, 0.76
07/05/2013, 701172, 424061, 1125233, 0.60
07/08/2013, 800223, 554842, 1355065, 0.69
07/09/2013, 1004361, 546116, 1550477, 0.54
07/10/2013, 909653, 520132, 1429785, 0.57
07/11/2013, 1088343, 625051, 1713394, 0.57
07/12/2013, 992492, 661075, 1653567, 0.67
07/15/2013, 1041127, 549537, 1590664, 0.53
07/16/2013, 1056233, 672482, 1728715, 0.64
07/17/2013, 1180834, 729781, 1910615, 0.62
07/18/2013, 1431352, 709351, 2140703, 0.50
07/19/2013, 1550856, 843540, 2394396, 0.54
07/22/2013, 1022900, 682552, 1705452, 0.67
07/23/2013, 1058992, 693978, 1752970, 0.66
07/24/2013, 1101178, 717390, 1818568, 0.65
07/25/2013, 1155473, 683664, 1839137, 0.59
07/26/2013, 966413, 622756, 1589169, 0.64
07/29/2013, 883035, 527507, 1410542, 0.60
07/30/2013, 1140176, 637829, 1778005, 0.56
07/31/2013, 1088383, 649966, 1738349, 0.60
08/01/2013, 1178959, 650748, 1829707, 0.55
08/02/2013, 1051078, 607739, 1658817, 0.58
08/05/2013, 931789, 548187, 1479976, 0.59
08/06/2013, 987293, 622038, 1609331, 0.63
08/07/2013, 987502, 625431, 1612933, 0.63
08/08/2013, 1114452, 641593, 1756045, 0.58
08/09/2013, 1116893, 650352, 1767245, 0.58
08/12/2013, 1034464, 571858, 1606322, 0.55
08/13/2013, 1360792, 669341, 2030133, 0.49
08/14/2013, 1326331, 708597, 2034928, 0.53
08/15/2013, 1293346, 848218, 2141564, 0.66
08/16/2013, 1338157, 798234, 2136391, 0.60
08/19/2013, 1102624, 595360, 1697984, 0.54
08/20/2013, 992955, 603745, 1596700, 0.61
08/21/2013, 938774, 605156, 1543930, 0.64
08/22/2013, 791998, 434075, 1226073, 0.55
08/23/2013, 1069709, 641067, 1710776, 0.60
08/26/2013, 902411, 547455, 1449866, 0.61
08/27/2013, 919663, 625133, 1544796, 0.68
08/28/2013, 819541, 446751, 1266292, 0.55
08/29/2013, 767414, 461727, 1229141, 0.60
08/30/2013, 696974, 470454, 1167428, 0.67
09/03/2013, 947368, 513901, 1461269, 0.54
09/04/2013, 988507, 538592, 1527099, 0.54
09/05/2013, 923418, 481843, 1405261, 0.52
09/06/2013, 1125139, 563541, 1688680, 0.50
09/09/2013, 1057353, 479336, 1536689, 0.45
09/10/2013, 1178951, 566417, 1745368, 0.48
09/11/2013, 1066539, 651879, 1718418, 0.61
09/12/2013, 985262, 624424, 1609686, 0.63
09/13/2013, 907155, 541493, 1448648, 0.60
09/16/2013, 990144, 567465, 1557609, 0.57
09/17/2013, 1001072, 574060, 1575132, 0.57
09/18/2013, 1353970, 720318, 2074288, 0.53
09/19/2013, 1334625, 764473, 2099098, 0.57
09/20/2013, 1410621, 841277, 2251898, 0.60
09/23/2013, 1103600, 769159, 1872759, 0.70
09/24/2013, 1213513, 684217, 1897730, 0.56
09/25/2013, 998811, 615794, 1614605, 0.62
09/26/2013, 1372332, 668252, 2040584, 0.49
09/27/2013, 1098107, 768766, 1866873, 0.70
09/30/2013, 892766, 680664, 1573430, 0.76
10/01/2013, 1058205, 557455, 1615660, 0.53
10/02/2013, 989049, 598837, 1587886, 0.61
10/03/2013, 1025559, 712575, 1738134, 0.69
10/04/2013, 1027808, 605763, 1633571, 0.59
10/07/2013, 900560, 543556, 1444116, 0.60
10/08/2013, 1096605, 789272, 1885877, 0.72
10/09/2013, 1141280, 784876, 1926156, 0.69
10/10/2013, 1071340, 669637, 1740977, 0.63
10/11/2013, 1134755, 677311, 1812066, 0.60
10/14/2013, 926472, 551031, 1477503, 0.59
10/15/2013, 1076966, 711160, 1788126, 0.66
10/16/2013, 1220545, 659086, 1879631, 0.54
10/17/2013, 1420025, 768132, 2188157, 0.54
10/18/2013, 2062165, 944934, 3007099, 0.46
10/21/2013, 1431721, 765823, 2197544, 0.53
10/22/2013, 1434251, 780403, 2214654, 0.54
10/23/2013, 1323496, 772000, 2095496, 0.58
10/24/2013, 1320529, 786479, 2107008, 0.60
10/25/2013, 1223113, 784715, 2007828, 0.64
10/28/2013, 1255763, 659765, 1915528, 0.53
10/29/2013, 1429088, 740134, 2169222, 0.52
10/30/2013, 1260066, 753919, 2013985, 0.60
10/31/2013, 1232305, 699013, 1931318, 0.57
11/01/2013, 1166171, 708134, 1874305, 0.61
11/04/2013, 1198172, 649486, 1847658, 0.54
11/05/2013, 1162203, 660127, 1822330, 0.57
11/06/2013, 1202490, 702505, 1904995, 0.58
11/07/2013, 1429654, 819267, 2248921, 0.57
11/08/2013, 1412367, 716262, 2128629, 0.51
11/11/2013, 1065479, 555297, 1620776, 0.52
11/12/2013, 1130728, 625004, 1755732, 0.55
11/13/2013, 1172404, 651593, 1823997, 0.56
11/14/2013, 1328265, 781600, 2109865, 0.59
11/15/2013, 1527023, 836216, 2363239, 0.55
11/18/2013, 1403036, 816473, 2219509, 0.58
11/19/2013, 1056727, 728222, 1784949, 0.69
11/20/2013, 993467, 626207, 1619674, 0.63
11/21/2013, 1170485, 558737, 1729222, 0.48
11/22/2013, 1199895, 718540, 1918435, 0.60
11/25/2013, 1129604, 610053, 1739657, 0.54
11/26/2013, 1148435, 620271, 1768706, 0.54
11/27/2013, 962310, 572765, 1535075, 0.60
11/29/2013, 675800, 321804, 997604, 0.48
12/02/2013, 1022657, 526172, 1548829, 0.51
12/03/2013, 998346, 605372, 1603718, 0.61
12/04/2013, 1021052, 576083, 1597135, 0.56
12/05/2013, 1091333, 564836, 1656169, 0.52
12/06/2013, 1150004, 610125, 1760129, 0.53
12/09/2013, 987552, 610511, 1598063, 0.62
12/10/2013, 933277, 537039, 1470316, 0.58
12/11/2013, 988384, 609726, 1598110, 0.62
12/12/2013, 1070098, 563694, 1633792, 0.53
12/13/2013, 964168, 643938, 1608106, 0.67
12/16/2013, 967608, 481954, 1449562, 0.50
12/17/2013, 1052970, 561173, 1614143, 0.53
