Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: TOTAL,,EXCHANGE: CBOE,
DATE,CALLS,PUTS,TOTAL,P/C Ratio
4/9/2012,1778743,1797470,3576213,1.01
4/10/2012,3267042,3172402,6439444,0.97
4/11/2012,2099483,2276293,4375776,1.08
4/12/2012,2643567,2268098,4911665,0.86
4/13/2012,2264303,2160994,4425297,0.95
4/16/2012,1998125,2007901,4006026,1
4/17/2012,2407241,2076204,4483445,0.86
4/18/2012,2157755,2133765,4291520,0.99
4/19/2012,2714272,2755078,5469350,1.02
4/20/2012,2971407,2615908,5587315,0.88
4/23/2012,2143035,1729358,3872393,0.81
4/24/2012,1885032,1685703,3570735,0.89
4/25/2012,2473705,1872230,4345935,0.76
4/26/2012,2299350,1923310,4222660,0.84
4/27/2012,2062776,1749383,3812159,0.85
4/30/2012,1803243,1575700,3378943,0.87
5/1/2012,2121303,1916840,4038143,0.9
5/2/2012,1910665,1905435,3816100,1
5/3/2012,2220132,2092059,4312191,0.94
5/4/2012,2577111,2669922,5247033,1.04
5/7/2012,1841158,1630057,3471215,0.89
5/8/2012,2395004,2705308,5100312,1.13
5/9/2012,2590406,2552649,5143055,0.99
5/10/2012,2000660,2128622,4129282,1.06
5/11/2012,2106220,2606977,4713197,1.24
5/14/2012,2148922,2672056,4820978,1.24
5/15/2012,2471212,2859601,5330813,1.16
5/16/2012,2828292,3495509,6323801,1.24
5/17/2012,2992798,4304947,7297745,1.44
5/18/2012,3110453,4149813,7260266,1.33
5/21/2012,2355974,2168022,4523996,0.92
5/22/2012,2354979,2350915,4705894,1
5/23/2012,2411971,2344903,4756874,0.97
5/24/2012,2262987,2184218,4447205,0.97
5/25/2012,1529572,1664490,3194062,1.09
5/29/2012,1869296,1799569,3668865,0.96
5/30/2012,1663781,2060543,3724324,1.24
5/31/2012,2055234,2193853,4249087,1.07
6/1/2012,2759453,3739944,6499397,1.36
6/4/2012,2231907,2175702,4407609,0.97
6/5/2012,1889515,1909844,3799359,1.01
6/6/2012,2409415,2733020,5142435,1.13
6/7/2012,2576590,2512804,5089394,0.98
