Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: TOTAL,,EXCHANGE: CBOE,
DATE,CALLS,PUTS,TOTAL,P/C Ratio
08/13/2012, 2016196, 1622687, 3638883, 0.80
08/14/2012, 2054414, 1691325, 3745739, 0.82
08/15/2012, 1886010, 1413450, 3299460, 0.75
08/16/2012, 2890204, 2425659, 5315863, 0.84
08/17/2012, 2656658, 1999542, 4656200, 0.75
08/20/2012, 1855945, 1846208, 3702153, 0.99
08/21/2012, 2314649, 2086042, 4400691, 0.90
08/22/2012, 2086431, 2031772, 4118203, 0.97
08/23/2012, 1962309, 1816381, 3778690, 0.93
08/24/2012, 1857105, 1581932, 3439037, 0.85
08/27/2012, 1281372, 1112470, 2393842, 0.87
08/28/2012, 1210811, 1008651, 2219462, 0.83
08/29/2012, 1293876, 1327287, 2621163, 1.03
08/30/2012, 1618752, 1718842, 3337594, 1.06
08/31/2012, 1681996, 1533939, 3215935, 0.91
09/04/2012, 1534311, 1370230, 2904541, 0.89
09/05/2012, 1580294, 1450981, 3031275, 0.92
09/06/2012, 2774507, 2389122, 5163629, 0.86
09/07/2012, 3201281, 2374549, 5575830, 0.74
09/10/2012, 2224308, 1758844, 3983152, 0.79
09/11/2012, 2608995, 2049110, 4658105, 0.79
09/12/2012, 2373816, 1767577, 4141393, 0.74
09/13/2012, 3717013, 2876329, 6593342, 0.77
09/14/2012, 4169291, 2879332, 7048623, 0.69
09/17/2012, 1841018, 1572577, 3413595, 0.85
09/18/2012, 2169064, 1709400, 3878464, 0.79
09/19/2012, 2772735, 1889304, 4662039, 0.68
09/20/2012, 2634519, 2249226, 4883745, 0.85
09/21/2012, 2907639, 2331559, 5239198, 0.80
09/24/2012, 2127909, 1688983, 3816892, 0.79
09/25/2012, 2081663, 1935551, 4017214, 0.93
09/26/2012, 2162600, 1935577, 4098177, 0.90
09/27/2012, 2062277, 1686409, 3748686, 0.82
09/28/2012, 2115286, 2104179, 4219465, 0.99
10/01/2012, 1594885, 1386482, 2981367, 0.87
10/02/2012, 1789165, 1316091, 3105256, 0.74
10/03/2012, 1608386, 1486933, 3095319, 0.92
10/04/2012, 1976277, 1594702, 3570979, 0.81
10/05/2012, 2082054, 1949923, 4031977, 0.94
10/08/2012, 1232052, 1036591, 2268643, 0.84
10/09/2012, 1671049, 1672415, 3343464, 1.00
10/10/2012, 1797374, 1800747, 3598121, 1.00
10/11/2012, 1786288, 1597612, 3383900, 0.89
10/12/2012, 1750282, 1832340, 3582622, 1.05
10/15/2012, 1828164, 1407697, 3235861, 0.77
10/16/2012, 2181156, 1762836, 3943992, 0.81
10/17/2012, 2814191, 2210413, 5024604, 0.79
10/18/2012, 2627635, 2302976, 4930611, 0.88
10/19/2012, 2732595, 3051988, 5784583, 1.12
10/22/2012, 1737772, 1639128, 3376900, 0.94
10/23/2012, 2068032, 2187800, 4255832, 1.06
10/24/2012, 1609712, 1465035, 3074747, 0.91
10/25/2012, 1996301, 1687933, 3684234, 0.85
10/26/2012, 1769732, 1755349, 3525081, 0.99
10/31/2012, 1722705, 1473767, 3196472, 0.86
11/01/2012, 1852557, 1757144, 3609701, 0.95
11/02/2012, 2191801, 2008917, 4200718, 0.92
11/05/2012, 1680478, 1363370, 3043848, 0.81
11/06/2012, 1756512, 1687464, 3443976, 0.96
11/07/2012, 2310474, 2789864, 5100338, 1.21
11/08/2012, 2146804, 2435324, 4582128, 1.13
11/09/2012, 2022493, 2361027, 4383520, 1.17
11/12/2012, 1642964, 1621859, 3264823, 0.99
11/13/2012, 2234148, 1858309, 4092457, 0.83
11/14/2012, 2398085, 2683762, 5081847, 1.12
11/15/2012, 2368074, 2937927, 5306001, 1.24
11/16/2012, 2852762, 2940709, 5793471, 1.03
11/19/2012, 2460193, 1838859, 4299052, 0.75
11/20/2012, 1529703, 1683574, 3213277, 1.10
11/21/2012, 1695193, 1464383, 3159576, 0.86
11/23/2012, 1190540, 1056862, 2247402, 0.89
11/26/2012, 2109433, 1323772, 3433205, 0.63
11/27/2012, 1579097, 1339009, 2918106, 0.85
11/28/2012, 1801603, 1500730, 3302333, 0.83
11/29/2012, 2006721, 2027922, 4034643, 1.01
11/30/2012, 1522760, 1769360, 3292120, 1.16
12/03/2012, 1736492, 1426252, 3162744, 0.82
12/04/2012, 1455286, 1516773, 2972059, 1.04
12/05/2012, 1955364, 1692751, 3648115, 0.87
12/06/2012, 1544080, 1421986, 2966066, 0.92
12/07/2012, 2023914, 1615377, 3639291, 0.80
12/10/2012, 1357801, 1224163, 2581964, 0.90
12/11/2012, 1854053, 1562827, 3416880, 0.84
12/12/2012, 1853990, 1643101, 3497091, 0.89
12/13/2012, 1785566, 1505678, 3291244, 0.84
12/14/2012, 1848530, 1644900, 3493430, 0.89
12/17/2012, 1835534, 1297902, 3133436, 0.71
12/18/2012, 2776603, 2355646, 5132249, 0.85
12/19/2012, 2290281, 2215882, 4506163, 0.97
12/20/2012, 2438870, 2087038, 4525908, 0.86
12/21/2012, 2372086, 2487759, 4859845, 1.05
12/24/2012, 722992, 701932, 1424924, 0.97
12/26/2012, 1293072, 1241836, 2534908, 0.96
12/27/2012, 1712244, 1816172, 3528416, 1.06
12/28/2012, 1642696, 1780782, 3423478, 1.08
12/31/2012, 2068097, 2118784, 4186881, 1.02
01/02/2013, 2537978, 2467062, 5005040, 0.97
01/03/2013, 2328033, 1952112, 4280145, 0.84
01/04/2013, 2089689, 1716520, 3806209, 0.82
01/07/2013, 1727607, 1538180, 3265787, 0.89
01/08/2013, 1686739, 1608435, 3295174, 0.95
01/09/2013, 1733456, 1481129, 3214585, 0.85
01/10/2013, 2090163, 1635643, 3725806, 0.78
01/11/2013, 2170630, 1570976, 3741606, 0.72
01/14/2013, 1758601, 1423372, 3181973, 0.81
01/15/2013, 1788233, 1849001, 3637234, 1.03
01/16/2013, 2083405, 1821163, 3904568, 0.87
01/17/2013, 2469886, 1945958, 4415844, 0.79
01/18/2013, 2628407, 1960682, 4589089, 0.75
01/22/2013, 1979643, 1863698, 3843341, 0.94
01/23/2013, 1922458, 1714709, 3637167, 0.89
01/24/2013, 2609965, 2291262, 4901227, 0.88
01/25/2013, 2004687, 1756044, 3760731, 0.88
01/28/2013, 1510960, 1459376, 2970336, 0.97
01/29/2013, 1670772, 1612826, 3283598, 0.97
01/30/2013, 1619679, 1533442, 3153121, 0.95
01/31/2013, 1788124, 1626289, 3414413, 0.91
02/01/2013, 2238910, 2004592, 4243502, 0.90
02/04/2013, 1488351, 1642864, 3131215, 1.10
02/05/2013, 1622827, 1537017, 3159844, 0.95
02/06/2013, 1565824, 1524992, 3090816, 0.97
02/07/2013, 1537809, 1582817, 3120626, 1.03
02/08/2013, 1807221, 1633040, 3440261, 0.90
02/11/2013, 1456184, 1563786, 3019970, 1.07
02/12/2013, 1915308, 1763256, 3678564, 0.92
02/13/2013, 2161239, 1975881, 4137120, 0.91
02/14/2013, 2195807, 1826073, 4021880, 0.83
02/15/2013, 2468727, 2181714, 4650441, 0.88
02/19/2013, 1824390, 1801827, 3626217, 0.99
02/20/2013, 2040525, 2331978, 4372503, 1.14
02/21/2013, 2369158, 2609267, 4978425, 1.10
02/22/2013, 1826185, 1648940, 3475125, 0.90
02/25/2013, 2135793, 2462076, 4597869, 1.15
02/26/2013, 2555876, 2804352, 5360228, 1.10
02/27/2013, 2000981, 1974201, 3975182, 0.99
02/28/2013, 1646578, 1617421, 3263999, 0.98
03/01/2013, 1845987, 2151416, 3997403, 1.17
03/04/2013, 1387436, 1553118, 2940554, 1.12
03/05/2013, 2165050, 2420896, 4585946, 1.12
03/06/2013, 2325902, 1654835, 3980737, 0.71
03/07/2013, 1943169, 1611572, 3554741, 0.83
03/08/2013, 2467133, 2226949, 4694082, 0.90
03/11/2013, 2001360, 1864986, 3866346, 0.93
03/12/2013, 2017991, 2180330, 4198321, 1.08
03/13/2013, 1897399, 1489265, 3386664, 0.78
03/14/2013, 2574603, 1887648, 4462251, 0.73
03/15/2013, 2554013, 2166707, 4720720, 0.85
03/18/2013, 2019138, 1831699, 3850837, 0.91
03/19/2013, 2579607, 2497969, 5077576, 0.97
03/20/2013, 2565311, 1910530, 4475841, 0.74
03/21/2013, 2078191, 1786356, 3864547, 0.86
03/22/2013, 2030708, 1859386, 3890094, 0.92
03/25/2013, 2106517, 1877337, 3983854, 0.89
03/26/2013, 1532118, 1216861, 2748979, 0.79
03/27/2013, 1565764, 1438526, 3004290, 0.92
03/28/2013, 1696884, 1519630, 3216514, 0.90
04/01/2013, 1273839, 1279193, 2553032, 1.00
04/02/2013, 1774296, 1537059, 3311355, 0.87
04/03/2013, 2069119, 2193944, 4263063, 1.06
04/04/2013, 1712663, 1868237, 3580900, 1.09
04/05/2013, 2059836, 2062333, 4122169, 1.00
04/08/2013, 1432458, 1292373, 2724831, 0.90
04/09/2013, 2271588, 1528451, 3800039, 0.67
04/10/2013, 2734900, 2333539, 5068439, 0.85
04/11/2013, 2407483, 2105816, 4513299, 0.87
04/12/2013, 1940434, 2235363, 4175797, 1.15
04/15/2013, 3046385, 3316202, 6362587, 1.09
04/16/2013, 2370577, 2089273, 4459850, 0.88
04/17/2013, 2783689, 3315498, 6099187, 1.19
04/18/2013, 2484261, 2920818, 5405079, 1.18
04/19/2013, 2220637, 2438573, 4659210, 1.10
04/22/2013, 1608513, 1652457, 3260970, 1.03
04/23/2013, 2163891, 1936817, 4100708, 0.90
04/24/2013, 2119454, 1674562, 3794016, 0.79
04/25/2013, 711172, 688582, 1399754, 0.97
04/26/2013, 1714012, 1531757, 3245769, 0.89
04/29/2013, 1547283, 1398586, 2945869, 0.90
04/30/2013, 1734794, 1535982, 3270776, 0.89
05/01/2013, 1766318, 1817496, 3583814, 1.03
05/02/2013, 1878567, 1710891, 3589458, 0.91
05/03/2013, 2681357, 2416250, 5097607, 0.90
05/06/2013, 1922224, 1492109, 3414333, 0.78
05/07/2013, 1887304, 1671308, 3558612, 0.89
05/08/2013, 2119192, 1855314, 3974506, 0.88
05/09/2013, 2137305, 2135691, 4272996, 1.00
05/10/2013, 2558178, 1907102, 4465280, 0.75
05/13/2013, 1619933, 1403149, 3023082, 0.87
05/14/2013, 2697128, 2192600, 4889728, 0.81
05/15/2013, 2936519, 2297032, 5233551, 0.78
05/16/2013, 2336184, 2302761, 4638945, 0.99
05/17/2013, 3001781, 2436915, 5438696, 0.81
05/20/2013, 2199429, 1746498, 3945927, 0.79
05/21/2013, 2120907, 1958907, 4079814, 0.92
05/22/2013, 3025482, 3120780, 6146262, 1.03
05/23/2013, 2143466, 2161243, 4304709, 1.01
05/24/2013, 1618308, 2043122, 3661430, 1.26
05/28/2013, 1900262, 1856000, 3756262, 0.98
05/29/2013, 2006957, 1720935, 3727892, 0.86
05/30/2013, 1880893, 1621548, 3502441, 0.86
05/31/2013, 1937034, 2311649, 4248683, 1.19
06/03/2013, 2335581, 2145629, 4481210, 0.92
06/04/2013, 1756232, 2032114, 3788346, 1.16
06/05/2013, 2367369, 2790396, 5157765, 1.18
06/06/2013, 2442992, 2970128, 5413120, 1.22
06/07/2013, 2312473, 2605823, 4918296, 1.13
06/10/2013, 1656041, 1787290, 3443331, 1.08
06/11/2013, 1967041, 2036870, 4003911, 1.04
06/12/2013, 2026655, 2423156, 4449811, 1.20
06/13/2013, 2110924, 2073528, 4184452, 0.98
06/14/2013, 1949279, 2313874, 4263153, 1.19
06/17/2013, 2023114, 1935515, 3958629, 0.96
06/18/2013, 2228570, 1914630, 4143200, 0.86
06/19/2013, 2368032, 2617088, 4985120, 1.11
06/20/2013, 3713903, 5161994, 8875897, 1.39
06/21/2013, 3333386, 3890037, 7223423, 1.17
06/24/2013, 2710571, 2736719, 5447290, 1.01
06/25/2013, 1713712, 1842261, 3555973, 1.08
06/26/2013, 2101097, 1795810, 3896907, 0.85
06/27/2013, 2179990, 2220337, 4400327, 1.02
06/28/2013, 1945804, 1875203, 3821007, 0.96
07/01/2013, 1746566, 1588741, 3335307, 0.91
07/02/2013, 1723361, 1793249, 3516610, 1.04
07/03/2013, 1040190, 1183925, 2224115, 1.14
07/05/2013, 1876417, 1811930, 3688347, 0.97
07/08/2013, 2244854, 2339877, 4584731, 1.04
07/09/2013, 2385378, 2418225, 4803603, 1.01
07/10/2013, 2072335, 2145013, 4217348, 1.04
07/11/2013, 2574607, 2609323, 5183930, 1.01
07/12/2013, 2394181, 2143876, 4538057, 0.90
07/15/2013, 2279828, 1888931, 4168759, 0.83
07/16/2013, 2147080, 2088378, 4235458, 0.97
07/17/2013, 2362927, 2177135, 4540062, 0.92
07/18/2013, 3042113, 2253447, 5295560, 0.74
07/19/2013, 2577120, 2043031, 4620151, 0.79
07/22/2013, 1749163, 1629702, 3378865, 0.93
07/23/2013, 1854243, 1723831, 3578074, 0.93
07/24/2013, 1847299, 1779996, 3627295, 0.96
07/25/2013, 1891781, 1814601, 3706382, 0.96
07/26/2013, 1877648, 1840072, 3717720, 0.98
07/29/2013, 1437929, 1205415, 2643344, 0.84
07/30/2013, 1883542, 1461540, 3345082, 0.78
07/31/2013, 2221730, 1953193, 4174923, 0.88
08/01/2013, 2464895, 2083016, 4547911, 0.85
08/02/2013, 2204705, 1930569, 4135274, 0.88
08/05/2013, 1794760, 1529654, 3324414, 0.85
08/06/2013, 2598229, 2331146, 4929375, 0.90
08/07/2013, 1844892, 1769826, 3614718, 0.96
08/08/2013, 2192124, 1676155, 3868279, 0.76
08/09/2013, 1944895, 1759950, 3704845, 0.90
08/12/2013, 1878757, 1438132, 3316889, 0.77
08/13/2013, 2396402, 1843140, 4239542, 0.77
08/14/2013, 2310920, 1836387, 4147307, 0.79
08/15/2013, 3453028, 3320387, 6773415, 0.96
08/16/2013, 2823182, 2638336, 5461518, 0.93
08/19/2013, 2071483, 1918344, 3989827, 0.93
08/20/2013, 2165998, 1943190, 4109188, 0.90
08/21/2013, 2451137, 2387428, 4838565, 0.97
08/22/2013, 1621648, 1337089, 2958737, 0.82
08/23/2013, 1942379, 1574042, 3516421, 0.81
08/26/2013, 1653131, 1484471, 3137602, 0.90
08/27/2013, 2353318, 2410446, 4763764, 1.02
08/28/2013, 1857442, 1503046, 3360488, 0.81
08/29/2013, 1663266, 1592320, 3255586, 0.96
08/30/2013, 1682956, 1887358, 3570314, 1.12
09/03/2013, 2031875, 1525388, 3557263, 0.75
09/04/2013, 2017922, 1555693, 3573615, 0.77
09/05/2013, 1780860, 1460131, 3240991, 0.82
09/06/2013, 2278086, 1968947, 4247033, 0.86
09/09/2013, 2240516, 1455798, 3696314, 0.65
09/10/2013, 2716017, 2074538, 4790555, 0.76
09/11/2013, 2199994, 2024435, 4224429, 0.92
09/12/2013, 2150176, 1846799, 3996975, 0.86
09/13/2013, 2036239, 1563242, 3599481, 0.77
09/16/2013, 2141424, 1950064, 4091488, 0.91
09/17/2013, 2302282, 1838553, 4140835, 0.80
09/18/2013, 3748712, 3136276, 6884988, 0.84
09/19/2013, 3116272, 2383603, 5499875, 0.76
09/20/2013, 2564448, 2692076, 5256524, 1.05
09/23/2013, 1957948, 1947670, 3905618, 0.99
09/24/2013, 1973253, 1722075, 3695328, 0.87
09/25/2013, 1800270, 1734649, 3534919, 0.96
09/26/2013, 2229382, 1568173, 3797555, 0.70
09/27/2013, 2437157, 2292596, 4729753, 0.94
09/30/2013, 2179817, 2411641, 4591458, 1.11
10/01/2013, 2080660, 1778284, 3858944, 0.85
10/02/2013, 2343638, 1807345, 4150983, 0.77
10/03/2013, 2972445, 2928202, 5900647, 0.99
10/04/2013, 2264951, 1971270, 4236221, 0.87
10/07/2013, 1993121, 1827117, 3820238, 0.92
10/08/2013, 3335048, 3241880, 6576928, 0.97
10/09/2013, 2968138, 3860555, 6828693, 1.30
10/10/2013, 2964702, 2757236, 5721938, 0.93
10/11/2013, 2391492, 2282601, 4674093, 0.95
10/14/2013, 2249990, 2026273, 4276263, 0.90
10/15/2013, 2595577, 2578893, 5174470, 0.99
10/16/2013, 3097498, 2891160, 5988658, 0.93
10/17/2013, 3507716, 3068816, 6576532, 0.87
10/18/2013, 4204529, 2921289, 7125818, 0.69
10/21/2013, 2267409, 1838483, 4105892, 0.81
10/22/2013, 2569717, 2153851, 4723568, 0.84
10/23/2013, 2048287, 1763008, 3811295, 0.86
10/24/2013, 2095200, 1705244, 3800444, 0.81
10/25/2013, 1950230, 1816621, 3766851, 0.93
10/28/2013, 2077982, 1618671, 3696653, 0.78
10/29/2013, 2276551, 1683383, 3959934, 0.74
10/30/2013, 2366264, 2327847, 4694111, 0.98
10/31/2013, 1994073, 1802932, 3797005, 0.90
11/01/2013, 2032668, 1861462, 3894130, 0.92
11/04/2013, 2056385, 1571145, 3627530, 0.76
11/05/2013, 2061495, 1612625, 3674120, 0.78
11/06/2013, 1979137, 1795418, 3774555, 0.91
11/07/2013, 2921528, 2679418, 5600946, 0.92
11/08/2013, 2628332, 2269387, 4897719, 0.86
11/11/2013, 1767711, 1448937, 3216648, 0.82
11/12/2013, 2180614, 1824902, 4005516, 0.84
11/13/2013, 2327498, 1921698, 4249196, 0.83
11/14/2013, 3054648, 2541014, 5595662, 0.83
11/15/2013, 2783236, 2075186, 4858422, 0.75
11/18/2013, 2652028, 2093380, 4745408, 0.79
11/19/2013, 2427869, 1980856, 4408725, 0.82
11/20/2013, 2138368, 2050751, 4189119, 0.96
11/21/2013, 2189379, 1722805, 3912184, 0.79
11/22/2013, 2224118, 2083428, 4307546, 0.94
11/25/2013, 1933923, 1484331, 3418254, 0.77
11/26/2013, 1984675, 1475083, 3459758, 0.74
11/27/2013, 1765504, 1423799, 3189303, 0.81
11/29/2013, 1252431, 1012181, 2264612, 0.81
12/02/2013, 1950102, 1461435, 3411537, 0.75
12/03/2013, 2014302, 1751452, 3765754, 0.87
12/04/2013, 1959900, 1743253, 3703153, 0.89
12/05/2013, 2086604, 1615651, 3702255, 0.77
12/06/2013, 2209010, 1920864, 4129874, 0.87
12/09/2013, 1686535, 1580006, 3266541, 0.94
12/10/2013, 1806490, 1369364, 3175854, 0.76
12/11/2013, 2269283, 2148999, 4418282, 0.95
12/12/2013, 2539688, 1785419, 4325107, 0.70
12/13/2013, 2194706, 1866285, 4060991, 0.85
12/16/2013, 1915350, 1533470, 3448820, 0.80
12/17/2013, 2287188, 2003754, 4290942, 0.88
12/18/2013, 3231587, 2758817, 5990404, 0.85
12/19/2013, 3051246, 2278737, 5329983, 0.75
12/20/2013, 3496251, 2639523, 6135774, 0.75
12/23/2013, 2516490, 1532962, 4049452, 0.61
12/24/2013, 1426174, 856051, 2282225, 0.60
12/26/2013, 2055431, 1342763, 3398194, 0.65
12/27/2013, 2027234, 1472238, 3499472, 0.73
12/30/2013, 2070071, 1518273, 3588344, 0.73
12/31/2013, 2233369, 1479074, 3712443, 0.66
01/02/2014, 2356773, 1934846, 4291619, 0.82
01/03/2014, 2032823, 1838415, 3871238, 0.90
01/06/2014, 2347424, 1628371, 3975795, 0.69
01/07/2014, 2421152, 1706255, 4127407, 0.70
01/08/2014, 2486302, 1763436, 4249738, 0.71
01/09/2014, 2954305, 2135214, 5089519, 0.72
01/10/2014, 2819573, 2147055, 4966628, 0.76
01/13/2014, 3258277, 2356568, 5614845, 0.72
01/14/2014, 2708417, 1834913, 4543330, 0.68
01/15/2014, 3274371, 2448907, 5723278, 0.75
01/16/2014, 2767631, 2158964, 4926595, 0.78
01/17/2014, 3609754, 2571596, 6181350, 0.71
01/21/2014, 2585759, 1959642, 4545401, 0.76
01/22/2014, 2439333, 1989706, 4429039, 0.82
01/23/2014, 2819117, 2470871, 5289988, 0.88
01/24/2014, 4185051, 3849645, 8034696, 0.92
01/27/2014, 3609176, 3141277, 6750453, 0.87
01/28/2014, 2396741, 1921637, 4318378, 0.80
01/29/2014, 2604364, 2521299, 5125663, 0.97
01/30/2014, 2722420, 2263029, 4985449, 0.83
01/31/2014, 3630289, 3106372, 6736661, 0.86
02/03/2014, 4861942, 3895893, 8757835, 0.80
02/04/2014, 2872309, 2856528, 5728837, 0.99
02/05/2014, 2824173, 2744899, 5569072, 0.97
02/06/2014, 2901739, 2666933, 5568672, 0.92
02/07/2014, 3598643, 2951719, 6550362, 0.82
02/10/2014, 1971160, 1851788, 3822948, 0.94
02/11/2014, 3343496, 2797111, 6140607, 0.84
02/12/2014, 2278830, 1935888, 4214718, 0.85
02/13/2014, 2647090, 2087018, 4734108, 0.79
02/14/2014, 2971686, 2461086, 5432772, 0.83
02/18/2014, 2751493, 2102417, 4853910, 0.76
02/19/2014, 3255731, 2931690, 6187421, 0.90
02/20/2014, 2687772, 2324852, 5012624, 0.86
02/21/2014, 3065780, 2102209, 5167989, 0.69
02/24/2014, 2848832, 2218890, 5067722, 0.78
02/25/2014, 2227243, 1847802, 4075045, 0.83
02/26/2014, 2269622, 1936671, 4206293, 0.85
02/27/2014, 2123042, 1890218, 4013260, 0.89
02/28/2014, 3153477, 2589090, 5742567, 0.82
03/03/2014, 2502655, 2249650, 4752305, 0.90
03/04/2014, 2577502, 2064655, 4642157, 0.80
03/05/2014, 2103327, 1626714, 3730041, 0.77
03/06/2014, 2620063, 2166923, 4786986, 0.83
03/07/2014, 2618227, 2155172, 4773399, 0.82
03/10/2014, 2228390, 1853100, 4081490, 0.83
03/11/2014, 2309645, 1879054, 4188699, 0.81
03/12/2014, 1981277, 1894520, 3875797, 0.96
03/13/2014, 3035158, 3155091, 6190249, 1.04
03/14/2014, 3749702, 2961912, 6711614, 0.79
03/17/2014, 2356463, 1980352, 4336815, 0.84
03/18/2014, 2599446, 1934661, 4534107, 0.74
03/19/2014, 2498348, 2056339, 4554687, 0.82
03/20/2014, 2738198, 2087008, 4825206, 0.76
03/21/2014, 2869954, 2580525, 5450479, 0.90
03/24/2014, 2116657, 2111824, 4228481, 1.00
03/25/2014, 2135760, 1609706, 3745466, 0.75
03/26/2014, 2309944, 2351531, 4661475, 1.02
03/27/2014, 2315535, 1946977, 4262512, 0.84
03/28/2014, 2301319, 2205886, 4507205, 0.96
03/31/2014, 1800036, 1732642, 3532678, 0.96
04/01/2014, 2145600, 2126869, 4272469, 0.99
04/02/2014, 2444039, 1613404, 4057443, 0.66
04/03/2014, 1980600, 1741161, 3721761, 0.88
04/04/2014, 3340064, 3152304, 6492368, 0.94
04/07/2014, 2538548, 2463497, 5002045, 0.97
04/08/2014, 1921021, 1757716, 3678737, 0.91
04/09/2014, 2901826, 1773886, 4675712, 0.61
04/10/2014, 2630660, 2716741, 5347401, 1.03
04/11/2014, 3022934, 3465170, 6488104, 1.15
04/14/2014, 2864017, 2149924, 5013941, 0.75
04/15/2014, 3030723, 2820272, 5850995, 0.93
04/16/2014, 2628468, 2383912, 5012380, 0.91
04/17/2014, 2929094, 2480817, 5409911, 0.85
04/21/2014, 1759603, 1331612, 3091215, 0.76
04/22/2014, 2397852, 1757498, 4155350, 0.73
04/23/2014, 1593818, 1603107, 3196925, 1.01
04/24/2014, 2138677, 1698038, 3836715, 0.79
04/25/2014, 2159915, 2464649, 4624564, 1.14
04/28/2014, 2073873, 1869780, 3943653, 0.90
04/29/2014, 1701800, 1531200, 3233000, 0.90
04/30/2014, 1993778, 1531455, 3525233, 0.77
05/01/2014, 2345721, 1909918, 4255639, 0.81
05/02/2014, 2156770, 2045653, 4202423, 0.95
05/05/2014, 1501316, 1307786, 2809102, 0.87
05/06/2014, 1945867, 1734641, 3680508, 0.89
05/07/2014, 2213130, 1912805, 4125935, 0.86
05/08/2014, 2188526, 2062326, 4250852, 0.94
05/09/2014, 2139639, 2008252, 4147891, 0.94
05/12/2014, 3080574, 1985866, 5066440, 0.64
