StochD,5mins,0,23.5518,slopenormal,PCompareNormal,ES,23.5518
StochK,5mins,0,27.8928,slopenormal,PCompareNormal,ES,27.8928
RVIsignal,5mins,0,0.12,slopenormal,PCompareNormal,ES,0.12
RVIline,5mins,0,0.0879,slopenormal,PCompareNormal,ES,0.0879
ATR,5mins,0,0.0898,slopenormal,PCompareNormal,ES,0.0898
diffvES,5mins,0,0.0,slopenormal,PCompareNormal,ES,0.0
kupper,5mins,0,0.9557,slopenormal,PCompareNormal,ES,0.9557
klower,5mins,0,1.1316,slopenormal,PCompareNormal,ES,1.1316
kmid,5mins,0,1.0291,slopenormal,PCompareNormal,ES,1.0291
bbandupper,5mins,0,0.9012,slopenormal,PCompareNormal,ES,0.9012
bbandlower,5mins,0,0.8719,slopenormal,PCompareNormal,ES,0.8719
stddev,5mins,0,0.6255,slopenormal,PCompareNormal,ES,0.6255
pivot,5mins,0,1.5619,slopenormal,PCompareNormal,ES,1.5619
R,5mins,0,1.5514,slopenormal,PCompareNormal,ES,1.5514
S,5mins,0,1.7068,slopenormal,PCompareNormal,ES,1.7068
S2,5mins,0,1.8384,slopenormal,PCompareNormal,ES,1.8384
R2,5mins,0,1.5716,slopenormal,PCompareNormal,ES,1.5716
sma200,5mins,0,0.7678,slopenormal,PCompareNormal,ES,0.7678
sma100,5mins,0,0.7678,slopenormal,PCompareNormal,ES,0.7678
sma50,5mins,0,1.7285,slopenormal,PCompareNormal,ES,1.7285
ema,5mins,0,0.8897,slopenormal,PCompareNormal,ES,0.8897
ROC,15mins,0,0.4254,slopenormal,PCompareNormal,ES,0.4254
RVIsignal,15mins,0,0.13,slopenormal,PCompareNormal,ES,0.13
RVI_CROSS,15mins,0,0.0659,slopenormal,PCompareNormal,ES,0.0659
RVIline,15mins,0,0.0982,slopenormal,PCompareNormal,ES,0.0982
AO,15mins,0,5.6304,slopenormal,PCompareNormal,ES,5.6304
AOAcc,15mins,0,2.9492,slopenormal,PCompareNormal,ES,2.9492
RSI,15mins,0,11.1881,slopenormal,PCompareNormal,ES,11.1881
mcross,15mins,0,1.731,slopenormal,PCompareNormal,ES,1.731
Stoch_CROSS,15mins,0,8.4122,slopenormal,PCompareNormal,ES,8.4122
mcd,15mins,0,0.7797,slopenormal,PCompareNormal,ES,0.7797
RVI_CROSS,15mins,0,0.0659,slopenormal,PCompareNormal,ES,0.0659
StochD,15mins,0,18.8397,slopenormal,PCompareNormal,ES,18.8397
StochK,15mins,0,21.9362,slopenormal,PCompareNormal,ES,21.9362
RVIsignal,15mins,0,0.13,slopenormal,PCompareNormal,ES,0.13
RVIline,15mins,0,0.0982,slopenormal,PCompareNormal,ES,0.0982
ATR,15mins,0,1.6666,slopenormal,PCompareNormal,ES,1.6666
diffvES,15mins,0,0.0,slopenormal,PCompareNormal,ES,0.0
kupper,15mins,0,4.0359,slopenormal,PCompareNormal,ES,4.0359
klower,15mins,0,4.4426,slopenormal,PCompareNormal,ES,4.4426
kmid,15mins,0,3.5112,slopenormal,PCompareNormal,ES,3.5112
bbandupper,15mins,0,3.1718,slopenormal,PCompareNormal,ES,3.1718
bbandlower,15mins,0,3.7734,slopenormal,PCompareNormal,ES,3.7734
stddev,15mins,0,0.5712,slopenormal,PCompareNormal,ES,0.5712
pivot,15mins,0,5.3007,slopenormal,PCompareNormal,ES,5.3007
R,15mins,0,5.827,slopenormal,PCompareNormal,ES,5.827
S,15mins,0,5.3085,slopenormal,PCompareNormal,ES,5.3085
S2,15mins,0,5.7014,slopenormal,PCompareNormal,ES,5.7014
R2,15mins,0,6.673,slopenormal,PCompareNormal,ES,6.673
sma200,15mins,0,0.6305,slopenormal,PCompareNormal,ES,0.6305
sma100,15mins,0,0.6298,slopenormal,PCompareNormal,ES,0.6298
sma50,15mins,0,0.9676,slopenormal,PCompareNormal,ES,0.9676
ema,15mins,0,2.5021,slopenormal,PCompareNormal,ES,2.5021
ROC,1hour,0,0.9083,slopenormal,PCompareNormal,ES,0.9083
RVIsignal,1hour,0,0.1115,slopenormal,PCompareNormal,ES,0.1115
RVI_CROSS,1hour,0,0.0638,slopenormal,PCompareNormal,ES,0.0638
RVIline,1hour,0,0.0748,slopenormal,PCompareNormal,ES,0.0748
AO,1hour,0,12.5777,slopenormal,PCompareNormal,ES,12.5777
AOAcc,1hour,0,4.2066,slopenormal,PCompareNormal,ES,4.2066
RSI,1hour,0,12.1637,slopenormal,PCompareNormal,ES,12.1637
mcross,1hour,0,4.7176,slopenormal,PCompareNormal,ES,4.7176
Stoch_CROSS,1hour,0,10.181,slopenormal,PCompareNormal,ES,10.181
mcd,1hour,0,1.7147,slopenormal,PCompareNormal,ES,1.7147
RVI_CROSS,1hour,0,0.0638,slopenormal,PCompareNormal,ES,0.0638
StochD,1hour,0,18.9199,slopenormal,PCompareNormal,ES,18.9199
StochK,1hour,0,23.6942,slopenormal,PCompareNormal,ES,23.6942
RVIsignal,1hour,0,0.1115,slopenormal,PCompareNormal,ES,0.1115
RVIline,1hour,0,0.0748,slopenormal,PCompareNormal,ES,0.0748
ATR,1hour,0,1.4819,slopenormal,PCompareNormal,ES,1.4819
diffvES,1hour,0,0.0,slopenormal,PCompareNormal,ES,0.0
kupper,1hour,0,12.1517,slopenormal,PCompareNormal,ES,12.1517
klower,1hour,0,14.6843,slopenormal,PCompareNormal,ES,14.6843
kmid,1hour,0,13.1988,slopenormal,PCompareNormal,ES,13.1988
bbandupper,1hour,0,18.0499,slopenormal,PCompareNormal,ES,18.0499
bbandlower,1hour,0,13.7895,slopenormal,PCompareNormal,ES,13.7895
stddev,1hour,0,3.5067,slopenormal,PCompareNormal,ES,3.5067
pivot,1hour,0,13.9573,slopenormal,PCompareNormal,ES,13.9573
R,1hour,0,13.6421,slopenormal,PCompareNormal,ES,13.6421
S,1hour,0,15.1112,slopenormal,PCompareNormal,ES,15.1112
S2,1hour,0,16.6839,slopenormal,PCompareNormal,ES,16.6839
R2,1hour,0,14.1392,slopenormal,PCompareNormal,ES,14.1392
sma200,1hour,0,5.3492,slopenormal,PCompareNormal,ES,5.3492
sma100,1hour,0,8.3806,slopenormal,PCompareNormal,ES,8.3806
