EUR.USD,EUR,IDEALPRO,USD,ignore,CASH,10000,100000,0.00005,5,0,MIDPOINT,6,P,200
ES,ES,GLOBEX,USD,20160318,FUT,1,2,0.25,3,0,TRADES,4,P,200
