127.0.0.1, 2016-04-04 21:42:04, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.368000
127.0.0.1, 2016-04-04 21:43:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.069000
127.0.0.1, 2016-04-04 21:43:04, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.336000
127.0.0.1, 2016-04-04 21:44:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.085000
127.0.0.1, 2016-04-04 21:44:04, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.392000
127.0.0.1, 2016-04-04 21:45:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.077000
127.0.0.1, 2016-04-04 21:45:04, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.393000
127.0.0.1, 2016-04-04 21:46:04, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.096000
127.0.0.1, 2016-04-04 21:46:04, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.421000
127.0.0.1, 2016-04-04 21:46:20, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-04-04 21:46:22, GET, /admin/default/design/pitch, HTTP/1.1, 200, 0.494000
127.0.0.1, 2016-04-04 21:46:22, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-04-04 21:46:29, GET, /admin/default/edit/pitch/controllers/default.py, HTTP/1.1, 200, 0.134000
127.0.0.1, 2016-04-04 21:46:30, GET, /favicon.ico, HTTP/1.1, 400, 0.008000
127.0.0.1, 2016-04-04 21:46:30, GET, /admin/default/edit/pitch/controllers/default.py, HTTP/1.1, 200, 0.353000
127.0.0.1, 2016-04-04 21:46:30, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.436000
127.0.0.1, 2016-04-04 21:46:30, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.754000
127.0.0.1, 2016-04-04 21:46:31, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.851000
127.0.0.1, 2016-04-04 21:46:31, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.550000
127.0.0.1, 2016-04-04 21:46:33, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 3.063000
127.0.0.1, 2016-04-04 21:47:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.079000
127.0.0.1, 2016-04-04 21:47:30, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.343000
127.0.0.1, 2016-04-04 21:47:43, POST, /admin/default/edit/pitch/controllers/default.py, HTTP/1.1, 200, 0.134000
127.0.0.1, 2016-04-04 21:47:52, GET, /pitch/default/entry_post, HTTP/1.1, 500, 0.518000
127.0.0.1, 2016-04-04 21:47:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-04-04 21:48:00, GET, /admin/default/ticket/pitch/127.0.0.1.2016-04-04.21-47-52.16aef995-2f67-4b53-969d-92ea79d737ed, HTTP/1.1, 200, 0.161000
127.0.0.1, 2016-04-04 21:48:01, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-04-04 21:48:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.081000
127.0.0.1, 2016-04-04 21:48:30, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.395000
127.0.0.1, 2016-04-04 21:49:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.094000
127.0.0.1, 2016-04-04 21:49:30, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.355000
127.0.0.1, 2016-04-04 21:50:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.111000
127.0.0.1, 2016-04-04 21:50:30, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.385000
127.0.0.1, 2016-04-04 21:51:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.087000
127.0.0.1, 2016-04-04 21:51:31, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.885000
127.0.0.1, 2016-04-04 21:52:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.565000
127.0.0.1, 2016-04-04 21:52:31, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.873000
127.0.0.1, 2016-04-04 21:53:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.098000
127.0.0.1, 2016-04-04 21:53:31, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 1.690000
127.0.0.1, 2016-04-04 21:54:07, POST, /admin/default/edit/pitch/controllers/default.py, HTTP/1.1, 200, 0.121000
127.0.0.1, 2016-04-04 21:54:22, GET, /pitch/default/entry_post, HTTP/1.1, 500, 1.185000
127.0.0.1, 2016-04-04 21:54:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-04-04 21:54:26, GET, /admin/default/ticket/pitch/127.0.0.1.2016-04-04.21-54-21.f011e4cd-cfc6-401f-b40b-e080ca758036, HTTP/1.1, 200, 0.291000
127.0.0.1, 2016-04-04 21:54:27, GET, /favicon.ico, HTTP/1.1, 400, 0.003000
127.0.0.1, 2016-04-04 21:54:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.078000
127.0.0.1, 2016-04-04 21:54:30, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.350000
127.0.0.1, 2016-04-04 21:54:39, POST, /admin/default/edit/pitch/controllers/default.py, HTTP/1.1, 200, 0.141000
127.0.0.1, 2016-04-04 21:54:55, POST, /admin/default/edit/pitch/controllers/default.py, HTTP/1.1, 200, 0.116000
127.0.0.1, 2016-04-04 21:55:07, GET, /pitch/default/entry_post, HTTP/1.1, 200, 0.554000
127.0.0.1, 2016-04-04 21:55:08, GET, /pitch/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.019000
127.0.0.1, 2016-04-04 21:55:08, GET, /pitch/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2016-04-04 21:55:08, GET, /pitch/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-04-04 21:55:08, GET, /pitch/static/images/facebook.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-04-04 21:55:08, GET, /pitch/static/images/twitter.png, HTTP/1.1, 200, 0.010000
127.0.0.1, 2016-04-04 21:55:23, POST, /pitch/default/entry_post, HTTP/1.1, 200, 0.854000
127.0.0.1, 2016-04-04 21:55:30, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.162000
127.0.0.1, 2016-04-04 21:55:30, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.367000
127.0.0.1, 2016-04-04 21:55:38, POST, /pitch/default/entry_post, HTTP/1.1, 200, 1.453000
127.0.0.1, 2016-04-04 21:56:08, GET, /admin/default/design/pitch, HTTP/1.1, 200, 0.813000
127.0.0.1, 2016-04-04 21:56:09, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-04-04 21:56:14, GET, /admin/default/edit/pitch/controllers/default.py, HTTP/1.1, 200, 0.187000
127.0.0.1, 2016-04-04 21:56:15, GET, /favicon.ico, HTTP/1.1, 400, 0.012000
127.0.0.1, 2016-04-04 21:56:15, GET, /admin/default/edit/pitch/controllers/default.py, HTTP/1.1, 200, 0.374000
127.0.0.1, 2016-04-04 21:56:15, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.499000
127.0.0.1, 2016-04-04 21:56:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.496000
127.0.0.1, 2016-04-04 21:56:15, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.624000
127.0.0.1, 2016-04-04 21:56:15, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.355000
127.0.0.1, 2016-04-04 21:56:15, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.935000
127.0.0.1, 2016-04-04 21:56:44, POST, /admin/default/edit/pitch/controllers/default.py, HTTP/1.1, 200, 0.123000
127.0.0.1, 2016-04-04 21:56:52, GET, /pitch/default/index, HTTP/1.1, 200, 0.302000
127.0.0.1, 2016-04-04 21:56:52, GET, /pitch/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-04 21:57:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.109000
127.0.0.1, 2016-04-04 21:57:15, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.425000
127.0.0.1, 2016-04-04 21:58:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.099000
127.0.0.1, 2016-04-04 21:58:15, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.373000
127.0.0.1, 2016-04-04 21:59:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.100000
127.0.0.1, 2016-04-04 21:59:15, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.390000
127.0.0.1, 2016-04-04 22:00:15, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.098000
127.0.0.1, 2016-04-04 22:00:15, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.353000
127.0.0.1, 2016-04-04 22:00:34, GET, /admin/default/design/pitch, HTTP/1.1, 200, 0.491000
127.0.0.1, 2016-04-04 22:00:34, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-04-04 22:01:45, GET, /admin/default/edit/pitch/views/default/index.html, HTTP/1.1, 200, 0.115000
127.0.0.1, 2016-04-04 22:01:45, GET, /favicon.ico, HTTP/1.1, 400, 0.033000
127.0.0.1, 2016-04-04 22:01:45, GET, /admin/default/edit/pitch/views/default/index.html, HTTP/1.1, 200, 0.342000
127.0.0.1, 2016-04-04 22:01:46, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.453000
127.0.0.1, 2016-04-04 22:01:46, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.640000
127.0.0.1, 2016-04-04 22:01:46, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.708000
127.0.0.1, 2016-04-04 22:01:46, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.424000
127.0.0.1, 2016-04-04 22:01:46, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.950000
127.0.0.1, 2016-04-04 22:02:03, POST, /admin/default/edit/pitch/views/default/index.html, HTTP/1.1, 200, 0.190000
127.0.0.1, 2016-04-04 22:02:07, GET, /admin/default/design/pitch, HTTP/1.1, 200, 0.521000
127.0.0.1, 2016-04-04 22:02:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-04-04 22:02:39, POST, /admin/default/create_file, HTTP/1.1, 303, 0.110000
127.0.0.1, 2016-04-04 22:02:39, GET, /admin/default/design/pitch, HTTP/1.1, 200, 0.487000
127.0.0.1, 2016-04-04 22:02:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-04-04 22:03:08, POST, /admin/default/create_file, HTTP/1.1, 303, 0.107000
127.0.0.1, 2016-04-04 22:03:08, GET, /admin/default/design/pitch, HTTP/1.1, 200, 0.518000
127.0.0.1, 2016-04-04 22:03:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-04-04 22:03:17, GET, /admin/default/delete/pitch/views/original.index.html, HTTP/1.1, 200, 0.094000
127.0.0.1, 2016-04-04 22:03:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2016-04-04 22:03:19, POST, /admin/default/delete/pitch/views/original.index.html, HTTP/1.1, 303, 0.090000
127.0.0.1, 2016-04-04 22:03:19, GET, /admin/default/design/pitch, HTTP/1.1, 200, 0.537000
127.0.0.1, 2016-04-04 22:03:19, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-04-04 22:03:23, GET, /admin/default/edit/pitch/views/default/index.html, HTTP/1.1, 200, 0.112000
127.0.0.1, 2016-04-04 22:03:24, GET, /favicon.ico, HTTP/1.1, 400, 0.012000
127.0.0.1, 2016-04-04 22:03:24, GET, /admin/default/edit/pitch/views/default/index.html, HTTP/1.1, 200, 0.228000
127.0.0.1, 2016-04-04 22:03:24, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.342000
127.0.0.1, 2016-04-04 22:03:24, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.589000
127.0.0.1, 2016-04-04 22:03:24, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.658000
127.0.0.1, 2016-04-04 22:03:24, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.456000
127.0.0.1, 2016-04-04 22:03:25, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.900000
127.0.0.1, 2016-04-04 22:03:35, POST, /admin/default/edit/pitch/views/default/index.html, HTTP/1.1, 200, 0.119000
127.0.0.1, 2016-04-04 22:04:24, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.100000
127.0.0.1, 2016-04-04 22:04:24, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.368000
127.0.0.1, 2016-04-04 22:05:24, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.093000
127.0.0.1, 2016-04-04 22:05:24, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.386000
127.0.0.1, 2016-04-04 22:05:53, POST, /admin/default/edit/pitch/views/default/index.html, HTTP/1.1, 200, 0.152000
127.0.0.1, 2016-04-04 22:06:05, POST, /pitch/default/entry_post, HTTP/1.1, 200, 0.514000
127.0.0.1, 2016-04-04 22:06:05, GET, /pitch/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-04-04 22:06:05, GET, /pitch/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-04-04 22:06:05, GET, /pitch/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-04-04 22:06:05, GET, /pitch/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-04-04 22:06:05, GET, /pitch/static/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-04-04 22:06:05, GET, /pitch/static/js/calendar.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2016-04-04 22:06:05, GET, /pitch/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-04-04 22:06:05, GET, /pitch/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-04-04 22:06:05, GET, /pitch/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-04-04 22:06:05, GET, /pitch/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-04-04 22:06:06, GET, /pitch/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2016-04-04 22:06:06, GET, /pitch/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-04-04 22:06:06, GET, /pitch/static/images/gplus-32.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2016-04-04 22:06:06, GET, /pitch/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-04-04 22:06:09, GET, /pitch/default/index, HTTP/1.1, 200, 0.094000
127.0.0.1, 2016-04-04 22:06:09, GET, /favicon.ico, HTTP/1.1, 400, 0.002000
127.0.0.1, 2016-04-04 22:06:24, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.083000
127.0.0.1, 2016-04-04 22:06:24, GET, /pitch/appadmin/hooks, HTTP/1.1, 200, 0.361000
127.0.0.1, 2016-04-04 22:07:07, GET, /admin/default/design/pitch, HTTP/1.1, 200, 0.523000
127.0.0.1, 2016-04-04 22:07:07, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-04-04 22:07:16, GET, /admin/default/edit/pitch/controllers/default.py, HTTP/1.1, 200, 0.112000
127.0.0.1, 2016-04-04 22:07:16, GET, /favicon.ico, HTTP/1.1, 400, 0.006000
127.0.0.1, 2016-04-04 22:07:16, GET, /admin/default/edit/pitch/controllers/default.py, HTTP/1.1, 200, 0.288000
127.0.0.1, 2016-04-04 22:07:16, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.397000
127.0.0.1, 2016-04-04 22:07:16, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.650000
127.0.0.1, 2016-04-04 22:07:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.647000
